taz,area,co,node_id,households,inc_1,inc_2,inc_3,inc_4,age24under,age25to44,age45to64,age65plus,auto_0,auto_1,auto_2,auto_3,farm,indu,cons,retl,serv,govt,emp,k12_enroll,unv_enroll
649,1.167923,87,90649,1000,0.238786,0.234829,0.265171,0.261214,2,125,83,25,0.062405,0.152207,0.331811,0.453577,191,17,6,0,9,0,223,0,0
652,2.054443,87,90652,293,0.156584,0.199288,0.302491,0.341637,9,127,94,63,0.049708,0.140351,0.532164,0.277778,375,4,39,10,64,162,654,541,0
658,1.357936,87,90658,31,0.256039,0.280193,0.256039,0.207729,0,16,14,1,0.083732,0.145933,0.327751,0.442584,462,8,17,0,0,0,487,0,0
660,0.568702,87,90660,23,0.256039,0.280193,0.256039,0.207729,0,7,8,10,0.083732,0.145933,0.327751,0.442584,110,5,3,1,0,0,119,0,0
661,1.377764,87,90661,41,0.256039,0.280193,0.256039,0.207729,2,18,11,10,0.083732,0.145933,0.327751,0.442584,243,23,8,0,1,0,275,0,0
663,0.398453,87,90663,46,0.256039,0.280193,0.256039,0.207729,1,14,20,11,0.083732,0.145933,0.327751,0.442584,27,14,1,0,9,0,51,0,0
690,0.477219,69,90690,18,0.126316,0.366316,0.204211,0.303158,2,8,4,4,0.021378,0.182898,0.394299,0.401425,0,8,26,3,20,0,57,0,0
691,0.119061,69,90691,1,0.126316,0.366316,0.204211,0.303158,1,0,0,0,0.021378,0.182898,0.394299,0.401425,0,0,0,0,0,0,0,0,0
710,4.93928,69,90710,583,0.216945,0.238768,0.156611,0.387677,8,210,267,98,0.01752,0.278976,0.314016,0.389488,0,56,51,40,20,15,182,0,0
714,0.717513,69,90714,51,0.216945,0.238768,0.156611,0.387677,2,23,23,3,0.01752,0.278976,0.314016,0.389488,0,0,0,5,0,0,5,0,0
736,0.012937,69,90736,50,0.175758,0.406061,0.234343,0.183838,0,31,17,2,0.13964,0.247748,0.333333,0.279279,0,0,0,0,2,0,2,0,0
741,0.022701,69,90741,78,0.175758,0.406061,0.234343,0.183838,5,41,22,10,0.13964,0.247748,0.333333,0.279279,0,0,0,0,0,0,0,0,0
759,0.017933,69,90759,59,0.25,0.392857,0.229592,0.127551,0,19,23,17,0.083551,0.339426,0.308094,0.26893,0,0,0,0,0,0,0,0,0
1079,1.816736,53,91079,88,0.208175,0.454373,0.159696,0.177757,3,42,37,6,0.115108,0.250771,0.400822,0.233299,353,42,1,3,4,0,403,0,0
1080,0.103058,53,91080,344,0.208175,0.454373,0.159696,0.177757,24,178,94,48,0.115108,0.250771,0.400822,0.233299,0,11,74,44,48,76,253,0,0
1081,0.221106,53,91081,255,0.208175,0.454373,0.159696,0.177757,9,160,65,21,0.115108,0.250771,0.400822,0.233299,50,3,293,8,29,0,383,0,0
1084,0.654361,53,91084,9,0.208175,0.454373,0.159696,0.177757,0,5,2,2,0.115108,0.250771,0.400822,0.233299,136,8,1,2,6,0,153,0,0
1085,1.823117,53,91085,43,0.094218,0.426124,0.201285,0.278373,1,20,17,5,0.038288,0.108108,0.367117,0.486486,344,27,0,0,3,25,399,0,0
1088,2.443894,53,91088,139,0.067126,0.20654,0.201377,0.524957,0,45,81,15,0,0.078611,0.440585,0.480804,362,58,0,0,6,0,426,0,0
1126,2.935274,53,91126,736,0.116176,0.294118,0.357353,0.232353,8,187,336,205,0.014749,0.235988,0.495575,0.253687,219,23,60,10,23,215,550,1578,0
1127,2.692205,53,91127,491,0.290466,0.281596,0.286031,0.141907,7,189,211,84,0.044743,0.319911,0.369128,0.266219,104,27,180,33,179,53,576,109,0
1128,1.296721,53,91128,294,0.088435,0.321429,0.178571,0.411565,5,97,147,45,0.051282,0.177656,0.399267,0.371795,29,24,10,3,10,0,76,0,0
1130,0.244547,53,91130,77,0.088435,0.321429,0.178571,0.411565,0,40,32,7,0.051282,0.177656,0.399267,0.371795,0,0,0,0,0,0,0,0,0
1132,1.070811,53,91132,379,0.125512,0.20191,0.236016,0.436562,3,118,208,50,0.009929,0.100709,0.409929,0.479433,0,16,57,95,207,10,385,525,0
1133,0.530481,53,91133,178,0.125512,0.20191,0.236016,0.436562,1,73,71,33,0.009929,0.100709,0.409929,0.479433,0,5,38,3,7,0,53,0,0
