id,from_node,to_node,link_type,length,label,fhwa_fc,ab_ln,ba_ln,area_type,ff_speed,bike_class,ab_gain,ba_gain,ab_ivt,ba_ivt,wait
1,0,1,TWO LANE,0.27998,EL TORO DR,19,1,1,2,19,0,0,13.74319782,0,0,0
2,2,3,MULTILANE,1.489899,RESERVATION RD,2,2,2,1,56,0,0,19.87984174,0,0,0
3,4,5,TWO LANE,0.095162,MURPHY HILL RD,9,1,1,1,30,0,54.91052713,0,0,0,0
4,6,4,TWO LANE,0.123911,MURPHY HILL RD,9,1,1,1,30,0,31.76283649,0,0,0,0
5,8,6,TWO LANE,0.227394,VIA DEL LOMAS,9,1,1,2,37,0,0,29.78764181,0,0,0
6,10,6,TWO LANE,0.110751,MURPHY HILL RD,9,1,1,1,30,0,38.74281886,0,0,0,0
7,8,10,TWO LANE,0.296469,VIA MANZANA,9,1,1,1,30,0,0,68.53046067,0,0,0
9,10,17,TWO LANE,0.21641,VIA MANZANA,9,1,1,1,30,0,0,38.90708988,0,0,0
10,18,19,MULTILANE,0.187815,SALINAS RD,14,2,2,9,17,3,0,1.928480904,0,0,0
11,20,10,TWO LANE,1.15991,MURPHY HILL RD,9,1,1,1,30,0,58.22366304,0,0,0,0
12,22,23,TWO LANE,0.138362,AROMAS RD,7,1,1,1,31,0,2.235784305,0,0,0,0
13,24,25,TWO LANE,0.138223,VEGA ST,9,1,1,2,37,0,12.94433914,0,0,0,0
14,22,24,TWO LANE,0.149381,MARCUS ST,9,1,1,1,30,0,9.289463674,0,0,0,0
15,28,29,TWO LANE,0.070728,BLOHM AVE,9,1,1,9,26,0,9.961053142,0,0,0,0
16,30,28,TWO LANE,0.065693,BLOHM AVE,9,1,1,2,37,0,4.943049173,0,0,0,0
17,24,30,TWO LANE,0.077006,MARCUS ST,9,1,1,1,30,0,11.64447604,0,0,0,0
18,34,22,TWO LANE,0.491797,AROMAS RD,7,1,1,1,31,0,0,17.88712549,0,0,0
19,36,37,TWO LANE,0.027684,ROSE AVE,9,1,1,1,30,0,3.312528916,0,0,0,0
20,36,39,TWO LANE,0.109214,ROSE AVE,9,1,1,3,15,0,0,17.55807031,0,0,0
21,39,41,TWO LANE,0.068975,ROSE AVE,9,1,1,3,15,0,0,12.73538184,0,0,0
22,42,43,TWO LANE,1.421561,GARIN RD,9,1,1,1,30,0,0,20.94830115,0,0,0
23,44,45,TWO LANE,0.111164,SEELY AVE,9,1,1,1,30,0,20.17056222,0,0,0,0
24,46,47,TWO LANE,0.157489,LAS LOMAS DR,9,1,1,2,37,0,26.54085635,0,0,0,0
25,44,49,TWO LANE,0.098563,CARPENTERIA RD,7,1,1,1,31,0,0,10.359281,0,0,0
26,50,51,TWO LANE,0.251616,RAMADERO WAY,9,1,1,1,30,0,106.7014879,0,0,0,0
27,52,53,TWO LANE,0.078643,SALINAS RD,6,1,1,1,38,0,5.346658662,0,0,0,0
28,54,46,TWO LANE,0.161663,OVERPASS RD,9,1,1,2,37,0,0,42.16896267,0,0,0
29,56,57,TWO LANE,0.382895,MCGOWAN RD,9,1,1,1,30,3,2.414096059,0,0,0,0
30,58,59,TWO LANE,0.258093,HWY 1,2,1,1,1,56,0,0,20.67570924,0,0,0
31,60,61,TWO LANE,0.410248,RED HAWK LN,9,1,1,1,30,0,175.2839877,0,0,0,0
32,62,46,TWO LANE,0.290503,LAS LOMAS DR,9,1,1,2,37,0,43.20963787,0,0,0,0
33,43,65,TWO LANE,0.33926,ELKHORN RD,2,1,1,1,38,2,37.54825417,0,0,0,0
34,66,67,TWO LANE,1.361145,HUDSON LANDING R,9,1,1,1,30,0,25.37197954,0,0,0,0
35,68,62,TWO LANE,0.080905,LAS LOMAS DR,9,1,1,3,15,0,11.47510499,0,0,0,0
36,54,71,TWO LANE,0.154559,MILLER RD,9,1,1,3,15,0,0,7.515541838,0,0,0
37,72,60,TWO LANE,0.209909,AIMEE MEADOWS RD,9,1,1,1,30,0,0,23.05849331,0,0,0
38,49,75,TWO LANE,0.744452,CARPENTERIA RD,7,1,1,1,31,0,0,80.782222,0,0,0
39,76,77,TWO LANE,0.374911,HARRINGTON RD,9,1,1,1,30,0,0,5.777576777,0,0,0
40,75,79,TWO LANE,0.034729,CARPENTERIA RD,7,1,1,1,31,0,0,8.943662869,0,0,0
41,80,68,TWO LANE,0.204266,LAS LOMAS DR,9,1,1,2,37,0,16.69414087,0,0,0,0
42,82,80,TWO LANE,0.167337,SILL RD,9,1,1,3,15,0,0,30.47924029,0,0,0
43,79,85,TWO LANE,0.321255,PIONEER PL,9,1,1,1,30,0,34.69990307,0,0,0,0
44,86,77,TWO LANE,0.145956,SILL RD,9,1,1,1,30,0,28.17868561,0,0,0,0
45,88,89,TWO LANE,0.702726,PINI RD,9,1,1,1,30,0,109.6437891,0,0,0,0
46,86,88,TWO LANE,0.316654,HALL RD,2,1,1,1,38,2,11.56322287,0,0,0,0
47,92,93,TWO LANE,0.174772,WILLOW RD,9,1,1,3,15,0,24.46047277,0,0,0,0
48,92,95,TWO LANE,0.277663,BERRY RD,9,1,1,3,15,0,0,9.831309006,0,0,0
49,96,92,TWO LANE,0.019734,BERRY RD,9,1,1,2,37,0,0,0.663892491,0,0,0
50,98,99,TWO LANE,1.258942,TARPEY RD,8,1,1,1,21,0,0,14.05240983,0,0,0
51,100,88,TWO LANE,0.588684,HALL RD,2,1,1,2,38,2,0,15.7166247,0,0,0
52,60,103,TWO LANE,0.422687,SUMMERLAND RD,9,1,1,1,30,0,0,81.50330992,0,0,0
53,99,105,TWO LANE,0.040185,TARPEY RD,7,1,1,1,21,0,0,13.21903364,0,0,0
54,79,107,TWO LANE,0.670746,CARPENTERIA RD,7,1,1,1,31,0,0,39.72133626,0,0,0
55,108,100,TWO LANE,0.339883,JOHNSON RD,9,1,1,1,30,0,18.947647,0,0,0,0
56,110,111,TWO LANE,0.365735,EL CERRITO WAY,9,1,1,1,30,0,76.67791812,0,0,0,0
57,112,58,TWO LANE,1.109999,HWY 1,2,1,1,1,56,0,0,7.333780524,0,0,0
58,114,108,TWO LANE,0.248867,MC GINNIS RD,9,1,1,1,30,0,0,40.58358237,0,0,0
59,116,108,TWO LANE,0.370839,JOHNSON RD,9,1,1,1,30,0,0,57.63526664,0,0,0
60,116,114,TWO LANE,0.124465,LIVE OAK RD,9,1,1,2,37,0,0,17.05168426,0,0,0
61,120,99,TWO LANE,1.535896,MAHER RD,7,1,1,1,31,0,0,120.419899,0,0,0
62,122,123,TWO LANE,0.128556,CHARLES SCHELL L,9,1,1,1,30,0,60.22033416,0,0,0,0
63,124,125,TWO LANE,0.675171,DUNBARTON RD,9,1,1,1,30,0,22.40961931,0,0,0,0
64,126,127,TWO LANE,0.359266,STARR WAY,9,1,1,1,30,0,113.829052,0,0,0,0
65,112,129,TWO LANE,1.071662,HWY 1,2,1,1,1,56,0,0,43.39090482,0,0,0
66,130,131,TWO LANE,0.295085,TAMARA LN,9,1,1,1,30,0,226.8349405,0,0,0,0
67,130,120,TWO LANE,0.137472,MAHER RD,7,1,1,1,31,0,0,2.685707072,0,0,0
68,134,135,TWO LANE,2.034896,HIDDEN VALLEY RD,9,1,1,1,30,0,0,146.0111047,0,0,0
69,126,135,TWO LANE,0.376282,CAMPAGNA WAY,9,1,1,1,30,0,0,75.56527305,0,0,0
70,125,139,TWO LANE,1.005012,OAK RIDGE DR,9,1,1,1,30,0,532.9516804,0,0,0,0
71,129,141,TWO LANE,0.503611,HWY 1,2,1,1,1,56,0,0,96.25046272,0,0,0
72,142,141,TWO LANE,0.738726,STRUVE RD,9,1,1,1,30,0,9.650185978,0,0,0,0
73,144,145,TWO LANE,0.603513,HIDDEN VALLEY RD,9,1,1,1,30,0,37.35104884,0,0,0,0
74,146,147,TWO LANE,0.064993,LONG VALLEY RD,9,1,1,1,30,0,35.96808967,0,0,0,0
75,148,147,TWO LANE,0.486375,THIMIO WAY,9,1,1,1,30,0,161.6986843,0,0,0,0
76,150,151,TWO LANE,0.206206,STRUVE RD,9,1,1,1,30,0,6.127446655,0,0,0,0
77,152,153,TWO LANE,0.226501,TUCKER RD,9,1,1,1,30,0,15.8129214,0,0,0,0
78,154,155,TWO LANE,0.160236,TUSTIN RD,19,1,1,2,19,0,0,39.91359801,0,0,0
79,156,157,TWO LANE,0.362564,TRIGO LN,9,1,1,1,30,0,211.8363468,0,0,0,0
80,158,159,TWO LANE,0.67889,MAHER RD,7,1,1,1,31,0,0,11.03791665,0,0,0
81,160,154,TWO LANE,0.297196,TUSTIN RD,19,1,1,1,21,0,150.0150726,0,0,0,0
82,162,163,TWO LANE,0.596908,VISTA DR,9,1,1,1,30,0,17.52708215,0,0,0,0
83,162,165,TWO LANE,0.464789,ECHO VALLEY RD,17,1,1,2,23,0,0,28.37013385,0,0,0
84,166,162,TWO LANE,0.15369,ECHO VALLEY RD,17,1,1,1,26,0,38.97103738,0,0,0,0
85,168,169,TWO LANE,0.266474,KAREN DR,19,1,1,2,19,0,0,166.196698,0,0,0
86,170,160,TWO LANE,0.176939,TUSTIN RD,19,1,1,2,19,0,29.29722543,0,0,0,0
87,172,170,TWO LANE,0.062351,TUSTIN RD,19,1,1,1,21,0,7.222793859,0,0,0,0
88,174,168,TWO LANE,0.126258,LEON DR,19,1,1,2,19,0,29.62032328,0,0,0,0
89,150,177,TWO LANE,0.608409,HWY 1,2,1,1,1,56,0,0,4.576960887,0,0,0
90,178,174,TWO LANE,0.073532,LEON DR,19,1,1,2,19,0,28.41273631,0,0,0,0
91,180,181,TWO LANE,0.246859,JOSHUA DR,19,1,1,2,19,0,72.72790423,0,0,0,0
92,182,183,TWO LANE,0.120226,WALKER VALLEY RD,9,1,1,1,30,0,0,7.665820635,0,0,0
93,184,185,TWO LANE,0.208022,OAK ESTATES DR,19,1,1,2,19,0,122.1009002,0,0,0,0
94,184,187,TWO LANE,0.282176,MORO RD,19,1,1,2,19,0,16.65858772,0,0,0,0
95,188,189,TWO LANE,0.057133,CRAZY HORSE CANY,8,1,1,1,32,0,0,23.66894499,0,0,0
96,190,191,TWO LANE,0.06994,LANGLEY CANYON R,19,1,1,2,19,0,18.24671828,0,0,0,0
97,192,190,TWO LANE,0.060816,DOT AVE,19,1,1,2,19,0,0,42.43783125,0,0,0
98,194,180,TWO LANE,0.249035,VALLE PACIFICO R,19,1,1,1,21,0,40.43433923,0,0,0,0
99,196,197,TWO LANE,1.788294,AVERY LN,9,1,1,1,30,0,0,282.5279937,0,0,0
100,198,172,TWO LANE,0.913146,TUSTIN RD,19,1,1,2,19,0,149.6829386,0,0,0,0
101,177,201,TWO LANE,0.202022,JETTY RD,9,1,1,1,30,0,0,0.505788433,0,0,0
102,202,203,TWO LANE,0.358754,LANGLEY CANYON R,19,1,1,2,19,0,65.13366549,0,0,0,0
103,183,205,TWO LANE,0.750765,ELKHORN RD,8,1,1,1,30,3,56.5844258,0,0,0,0
104,202,194,TWO LANE,0.362777,VALLE PACIFICO R,19,1,1,2,19,0,89.80877443,0,0,0,0
105,208,209,TWO LANE,0.258034,LEAFWOOD DR,9,1,1,2,37,0,188.3435687,0,0,0,0
106,182,211,TWO LANE,0.586569,WALKER VALLEY RD,9,1,1,1,30,0,150.3513178,0,0,0,0
107,211,205,TWO LANE,0.525335,BAY VIEW RD,9,1,1,1,30,0,0,101.4327127,0,0,0
108,214,188,TWO LANE,0.498939,CRAZY HORSE CANY,6,1,1,1,32,0,0,90.913297,0,0,0
109,216,202,TWO LANE,0.143512,LANGLEY CANYON R,19,1,1,1,21,0,14.38991917,0,0,0,0
110,218,219,TWO LANE,0.459678,HWY 1,2,1,1,9,56,0,0,26.2831171,0,0,0
111,220,221,TWO LANE,0.302539,CASTROVILLE BLVD,16,1,1,1,48,0,0,152.9350806,0,0,0
112,222,216,TWO LANE,0.209168,MELVA AVE,19,1,1,2,19,0,0,78.21041768,0,0,0
113,224,216,TWO LANE,0.361439,LANGLEY CANYON R,19,1,1,1,21,0,31.82924326,0,0,0,0
114,226,227,TWO LANE,0.218412,SANDHOLDT RD,9,1,1,9,26,0,0,5.841168362,0,0,0
115,227,229,TWO LANE,0.044402,WHALE WAY,9,1,1,9,26,0,0.99963247,0,0,0,0
116,230,205,TWO LANE,0.266801,ELKHORN RD,8,1,1,1,30,3,7.951691395,0,0,0,0
117,230,233,TWO LANE,0.539175,SPRINGPOINT RD,9,1,1,1,30,0,0,63.77555567,0,0,0
118,234,235,TWO LANE,0.218845,CASTROVILLE BLVD,6,1,1,1,48,0,80.13802876,0,0,0,0
120,238,230,TWO LANE,0.113077,ELKHORN RD,8,1,1,2,30,3,0,16.50136913,0,0,0
121,240,241,TWO LANE,0.382617,MORO RD,19,1,1,2,19,0,63.12246398,0,0,0,0
122,218,243,TWO LANE,0.294532,HWY 1,2,1,1,9,56,0,0,14.42105126,0,0,0
123,244,245,TWO LANE,0.38534,AMARAL RD,9,1,1,1,30,0,46.86155344,0,0,0,0
124,246,247,TWO LANE,0.491971,VIERRA CANYON RD,17,1,1,1,26,0,58.99291652,0,0,0,0
125,248,243,TWO LANE,0.172556,MOSS LANDING RD,9,1,1,9,26,0,14.86045247,0,0,0,0
126,250,251,TWO LANE,0.374015,ROMA PL,19,1,1,1,21,0,183.052879,0,0,0,0
127,246,250,TWO LANE,0.246319,VIERRA CANYON RD,17,1,1,1,26,0,0,71.59686151,0,0,0
128,254,255,TWO LANE,1.228019,DOLAN RD,6,1,1,1,32,0,0,49.59613632,0,0,0
129,254,257,TWO LANE,0.317824,AVILA RD,9,1,1,1,30,0,0,15.05228165,0,0,0
131,260,257,TWO LANE,0.685661,DOLAN RD,6,1,1,1,32,0,0,38.89748744,0,0,0
132,262,260,TWO LANE,0.20043,DOLAN RD,6,1,1,1,32,0,69.24907992,0,0,0,0
133,264,265,TWO LANE,0.141838,VIERRA CANYON RD,17,1,1,1,26,0,5.98884943,0,0,0,0
134,266,267,TWO LANE,0.347978,CASTROVILLE BLVD,6,1,1,1,48,0,17.5558363,0,0,0,0
135,268,262,TWO LANE,0.246344,CASTROVILLE BLVD,6,1,1,1,48,0,0,29.93630612,0,0,0
136,270,247,TWO LANE,0.539784,LYNNE HAVEN WAY,19,1,1,1,21,0,0,20.09078899,0,0,0
137,268,266,TWO LANE,0.970449,CASTROVILLE BLVD,6,1,1,1,48,0,27.71294649,0,0,0,0
138,274,275,TWO LANE,0.116729,RICHMOND,19,1,1,1,21,0,0,3.719229711,0,0,0
139,248,277,TWO LANE,0.287659,MOSS LANDING RD,9,1,1,9,26,0,6.750230714,0,0,0,0
140,243,279,TWO LANE,0.54726,HWY 1,2,1,1,9,56,0,0,3.759692034,0,0,0
141,280,279,TWO LANE,0.021355,PIERI CT,9,1,1,9,26,0,0,1.49941507,0,0,0
142,282,280,TWO LANE,0.031525,MOSS LANDING RD,9,1,1,9,26,0,0.755439593,0,0,0,0
143,284,280,TWO LANE,0.031862,PIERI CT,9,1,1,1,30,0,0,2.676198489,0,0,0
144,286,284,TWO LANE,0.18395,PIERI CT,9,1,1,3,15,0,1.31199679,0,0,0,0
145,262,289,TWO LANE,0.32442,CASTROVILLE BLVD,9,1,1,1,30,0,50.70861243,0,0,0,0
146,279,291,TWO LANE,0.062657,HWY 1,2,1,1,9,56,0,4.184383733,0,0,0,0
147,280,291,TWO LANE,0.062608,MOSS LANDING RD,9,1,1,9,26,0,2.684968663,0,0,0,0
148,291,295,TWO LANE,0.037099,POTRERO,9,1,1,1,30,0,2.903644181,0,0,0,0
149,296,268,TWO LANE,0.286635,ORMART RD,9,1,1,2,37,3,0,8.896439094,0,0,0
150,286,299,TWO LANE,0.0615,POTRERO RD,9,1,1,1,30,0,0,2.220083722,0,0,0
151,289,301,TWO LANE,0.116177,CASTROVILLE BLVD,9,1,1,1,30,0,0,2.388265815,0,0,0
152,302,266,TWO LANE,0.416149,ARCHER RD,9,1,1,1,30,0,0,118.7544733,0,0,0
153,302,296,TWO LANE,1.184245,DEL MONTE FARMS,19,1,1,1,21,0,0,137.5709807,0,0,0
154,306,296,TWO LANE,0.153488,ORMART RD,19,1,1,2,19,0,40.15442893,0,0,0,0
155,308,309,TWO LANE,0.28698,DYER RD,19,1,1,1,21,0,24.55267068,0,0,0,0
156,310,302,TWO LANE,0.155442,ARCHER RD,19,1,1,1,21,0,62.10008005,0,0,0,0
157,312,313,TWO LANE,0.142073,VALLEY RD,19,1,1,1,21,0,0,18.33273983,0,0,0
158,308,315,TWO LANE,0.220684,MERIDIAN SPUR,19,1,1,1,21,0,0,10.73709623,0,0,0
159,316,317,RAMP,0.190285,HWY 101 RAMP,77,1,0,2,27,0,38.52714704,0,0,0,0
160,308,310,TWO LANE,1.00303,MERIDIAN RD,19,1,1,1,21,0,0,50.61944326,0,0,0
161,317,321,TWO LANE,0.226986,HWY 156,14,1,1,1,36,0,36.89215252,0,0,0,0
162,322,323,TWO LANE,0.117186,MERIDIAN SPUR,19,1,1,1,21,0,2.667641077,0,0,0,0
164,326,312,TWO LANE,0.145588,HILLCREST RD,19,1,1,2,19,0,0,58.75401297,0,0,0
165,328,329,TWO LANE,0.211748,BERTA CANYON RD,19,1,1,2,19,0,4.390193409,0,0,0,0
166,329,331,TWO LANE,0.118341,BERTA CANYON RD,19,1,1,2,19,0,3.837913353,0,0,0,0
167,332,333,TWO LANE,0.180942,EDEN CT,19,1,1,1,21,0,0,109.2317286,0,0,0
168,334,335,TWO LANE,0.583904,PESANTE RD,6,1,1,1,48,0,60.64751643,0,0,0,0
169,291,337,TWO LANE,0.480748,HWY 1,2,1,1,1,56,0,0,7.355619134,0,0,0
170,338,339,TWO LANE,0.041507,OAK HILLS,19,1,1,1,21,0,0,19.45269077,0,0,0
171,340,341,TWO LANE,0.072193,HOLLY OAK WAY,19,1,1,1,21,0,0,16.53874014,0,0,0
172,342,343,TWO LANE,0.117244,WILLOW OAK,19,1,1,2,19,0,0,21.28022236,0,0,0
173,344,341,TWO LANE,0.1149,CHARTER OAK BLVD,19,1,1,1,21,0,0,17.45085078,0,0,0
174,341,347,TWO LANE,0.070203,CHARTER OAK BLVD,19,1,1,1,21,0,2.192049202,0,0,0,0
175,347,349,TWO LANE,0.442121,OAK HILLS,19,1,1,2,19,0,0,27.40369381,0,0,0
176,350,339,TWO LANE,0.116812,OAK HILLS,19,1,1,1,21,0,73.94119823,0,0,0,0
177,352,350,TWO LANE,0.047386,CHARTER OAK,19,1,1,1,21,0,0,17.2826374,0,0,0
178,339,355,TWO LANE,0.214317,CENTURY OAK RD,19,1,1,2,19,0,4.839822063,0,0,0,0
