id,from_node,to_node,link_type,length,label,fhwa_fc,ab_ln,ba_ln,area_type,ff_speed,bike_class,ab_gain,ba_gain,ab_ivt,ba_ivt,wait
179,355,352,TWO LANE,0.181739,CHARTER OAK BLVD,19,1,1,2,19,0,0,61.4983829,0,0,0
180,347,355,TWO LANE,0.279959,CHARTER OAK BLVD,19,1,1,2,19,0,0,2.661452206,0,0,0
181,350,361,TWO LANE,0.05317,CHARTER OAK,19,1,1,2,19,0,0,4.936741406,0,0,0
182,362,347,TWO LANE,0.06258,OAK HILLS DR,19,1,1,2,19,0,0,1.392214317,0,0,0
184,366,367,TWO LANE,0.154017,CHARTER OAK,19,1,1,2,19,0,0,31.59481084,0,0,0
185,368,366,TWO LANE,0.147877,CHARTER OAK BLVD,19,1,1,2,19,0,50.53642854,0,0,0,0
186,366,371,TWO LANE,0.045283,ORACLE OAK,19,1,1,2,19,0,5.58385073,0,0,0,0
187,367,373,TWO LANE,0.106535,CHARTER OAK BLVD,19,1,1,2,19,0,0,29.28431891,0,0,0
189,376,362,TWO LANE,0.680006,HWY 156,2,1,1,2,52,0,65.28897548,0,0,0,0
190,368,376,TWO LANE,0.096753,CATHEDRAL OAK RD,19,1,1,2,19,0,38.01548575,0,0,0,0
191,373,381,TWO LANE,0.088901,CHARTER OAK BLVD,19,1,1,2,19,0,1.672659646,0,0,0,0
192,382,383,TWO LANE,0.142725,BORROMEO DR,9,1,1,1,30,0,0,6.741820358,0,0,0
193,381,385,TWO LANE,0.404357,CHARTER OAK BLVD,19,1,1,2,19,0,13.71200316,0,0,0,0
194,381,387,TWO LANE,0.043164,COLONIAL,19,1,1,2,19,0,5.790420717,0,0,0,0
195,388,389,TWO LANE,0.010841,PESANT CANYON,19,1,1,2,19,3,1.682991118,0,0,0,0
196,390,391,TWO LANE,0.130765,MONTE DEL SOL,19,1,1,2,19,0,17.74368324,0,0,0,0
197,392,391,TWO LANE,0.035938,VISTA DEL LAGO,19,1,1,4,16,0,0.421234316,0,0,0,0
198,392,395,TWO LANE,0.101437,AGUA DULCE,19,1,1,4,16,0,0.841417338,0,0,0,0
199,395,390,TWO LANE,0.041581,MIRA LOMA,19,1,1,2,19,0,0,18.16386626,0,0,0
200,398,399,TWO LANE,0.096927,MONTEREY DUNES W,9,1,1,1,30,0,0,9.568547952,0,0,0
201,400,395,TWO LANE,0.042341,MIRA LOMA,19,1,1,2,19,0,0,8.964682501,0,0,0
202,402,403,TWO LANE,0.067709,MONTE DEL ORO,19,1,1,2,19,0,9.522610136,0,0,0,0
203,402,391,TWO LANE,0.082156,MONTE DEL SOL,19,1,1,4,16,0,0,0.966543288,0,0,0
204,406,402,TWO LANE,0.034341,MONTE DEL ORO,19,1,1,4,16,0,0,8.112896146,0,0,0
205,406,392,TWO LANE,0.061154,AGUA DULCE,19,1,1,4,16,0,0,9.50067375,0,0,0
206,410,403,TWO LANE,0.028464,MONTE DEL LAGO,19,1,1,2,19,0,1.557408355,0,0,0,0
207,412,410,TWO LANE,0.112867,CIELO AZUL,19,1,1,4,16,0,0,2.967244371,0,0,0
208,403,415,TWO LANE,0.267932,MONTE DEL ORO,19,1,1,3,18,0,0,3.273155433,0,0,0
209,415,410,TWO LANE,0.021967,MONTE DEL LAGO,19,1,1,4,16,0,1.715747077,0,0,0,0
210,418,419,TWO LANE,0.008029,ORCHARD LN,19,1,1,2,19,0,0.216929618,0,0,0,0
211,420,421,TWO LANE,0.39648,MONTEREY DUNES W,9,1,1,1,30,0,5.584485888,0,0,0,0
212,412,406,TWO LANE,0.033924,AGUA DULCE,19,1,1,4,16,0,0,2.819550006,0,0,0
213,424,412,TWO LANE,0.034182,CIELO AZUL,19,1,1,4,16,0,0,4.142388271,0,0,0
214,424,400,TWO LANE,0.142709,AGUA CALIENTE,19,1,1,4,16,0,0,6.656512188,0,0,0
215,428,429,TWO LANE,0.064588,WASHINGTON ST,19,1,1,2,19,0,1.820666114,0,0,0,0
216,430,428,TWO LANE,0.068197,SEYMOUR ST,19,1,1,4,16,0,0,1.19874953,0,0,0
217,432,424,TWO LANE,0.043777,CIELO AZUL,19,1,1,4,16,0,1.023403929,0,0,0,0
218,434,432,TWO LANE,0.033907,CIELO AZUL,19,1,1,2,19,0,3.947986393,0,0,0,0
219,400,434,TWO LANE,0.055873,MIRA LOMA,19,1,1,2,19,0,1.685121867,0,0,0,0
220,438,439,TWO LANE,0.241731,HWY 1,2,1,1,1,56,0,0,0,0,0,0
221,398,441,TWO LANE,0.188985,MONTEREY DUNES W,9,1,1,1,30,0,0,8.999778843,0,0,0
222,441,443,TWO LANE,0.056435,MONTEREY DUNES W,9,1,1,1,30,0,0,2.645986287,0,0,0
223,429,445,TWO LANE,0.065758,WASHINGTON ST,19,1,1,2,19,0,0.287694099,0,0,0,0
224,430,447,TWO LANE,0.065621,MEAD ST,19,1,1,4,16,0,0,0.828868292,0,0,0
225,447,429,TWO LANE,0.069295,GEIL ST,19,1,1,4,16,0,1.450784876,0,0,0,0
226,450,430,TWO LANE,0.069347,SEYMOUR ST,19,1,1,4,16,0,0,2.605383165,0,0,0
227,452,415,TWO LANE,0.078611,MONTE DEL LAGO,19,1,1,1,21,0,9.514734814,0,0,0,0
228,447,455,TWO LANE,0.06533,MEAD ST,19,1,1,4,16,0,1.589123971,0,0,0,0
229,455,445,TWO LANE,0.06875,POMBER ST,19,1,1,4,16,0,0.149355004,0,0,0,0
230,450,459,TWO LANE,0.065455,COOPER ST,19,1,1,4,16,0,0,2.326312184,0,0,0
231,459,447,TWO LANE,0.068817,GEIL ST,19,1,1,4,16,0,0,1.107939272,0,0,0
232,445,463,TWO LANE,0.05508,WASHINGTON ST,19,1,1,2,19,0,0,0.00289106,0,0,0
233,464,450,TWO LANE,0.069472,SEYMOUR ST,19,1,1,4,16,0,0,2.789885353,0,0,0
234,466,467,TWO LANE,0.06523,SPEEGLE ST,19,1,1,3,18,0,1.432182282,0,0,0,0
235,467,469,TWO LANE,0.070688,AXTELL ST,19,1,1,2,19,0,0,6.43407266,0,0,0
236,470,471,TWO LANE,0.113836,CASTROVILLE BLVD,19,1,1,1,21,0,0,5.464469354,0,0,0
237,472,473,TWO LANE,0.069144,MCDOUGALL ST,19,1,1,4,16,0,0,1.817015525,0,0,0
238,474,473,TWO LANE,0.068649,WASHINGTON ST,19,1,1,2,19,0,0.437577878,0,0,0,0
239,474,477,TWO LANE,0.038552,WASHINGTON ST,19,1,1,3,18,0,0,0.375380197,0,0,0
240,452,479,TWO LANE,0.382203,HWY 156,2,1,1,1,56,0,0.195593972,0,0,0,0
241,472,481,TWO LANE,0.069415,MEAD ST,19,1,1,3,18,0,0,1.139597004,0,0,0
242,481,474,TWO LANE,0.069634,HWY 183,16,1,1,9,19,0,0,1.114996399,0,0,0
243,481,485,TWO LANE,0.036511,MEAD ST,19,1,1,1,21,0,0,1.490376596,0,0,0
244,477,485,TWO LANE,0.065,TEMBLADERA ST,19,1,1,1,21,0,0,0,0,0,0
245,479,470,FREEWAY,0.175395,HWY 156,2,2,0,1,52,2,0,17.45600556,0,0,0
246,490,481,TWO LANE,0.069177,HWY 183,16,1,1,9,19,0,0,0.53208644,0,0,0
247,490,493,TWO LANE,0.040149,COOPER ST,19,1,1,2,19,0,0,1.350359654,0,0,0
248,485,495,TWO LANE,0.052818,TEMBLADERA ST,19,1,1,2,19,0,0.479475563,0,0,0,0
249,493,497,TWO LANE,0.068871,TEMBLADERA ST,19,1,1,2,19,0,1.888803923,0,0,0,0
250,498,499,TWO LANE,3.666607,OLD STAGE RD,9,1,1,1,30,0,281.9192941,0,0,0,0
251,498,501,TWO LANE,0.301318,CRAZY HORSE RD,9,1,1,1,30,0,0,14.7799995,0,0,0
252,502,503,TWO LANE,0.310907,MONTEREY DUNES W,9,1,1,1,30,0,7.560919589,0,0,0,0
253,504,503,TWO LANE,0.058017,MONTEREY DUNES W,9,1,1,1,30,0,7.245402949,0,0,0,0
254,506,507,TWO LANE,0.011979,DEL MONTE AVE,19,1,1,4,16,0,0,0.04002272,0,0,0
255,507,509,TWO LANE,0.078056,DEL MONTE AVE,19,1,1,4,16,0,2.388527074,0,0,0,0
256,503,511,TWO LANE,0.133214,MONTEREY DUNES W,9,1,1,1,30,0,0,2.231951461,0,0,0
257,511,513,TWO LANE,0.063623,MONTEREY DUNES W,9,1,1,1,30,0,0,0.983830199,0,0,0
258,509,515,TWO LANE,0.076637,DEL MONTE AVE,19,1,1,4,16,0,0.775717688,0,0,0,0
259,511,517,TWO LANE,0.127663,MONTEREY DUNES W,9,1,1,1,30,0,0.173976728,0,0,0,0
260,517,519,TWO LANE,0.025651,MONTEREY DUNES W,9,1,1,1,30,0,0,0.543647551,0,0,0
261,520,521,TWO LANE,0.475582,MEADOW RIDGE RD,19,1,1,1,21,0,49.32466142,0,0,0,0
262,517,523,TWO LANE,0.075399,MONTEREY DUNES W,9,1,1,1,30,0,1.302384955,0,0,0,0
263,523,525,TWO LANE,0.038968,MONTEREY DUNES W,9,1,1,1,30,0,0,0.632140893,0,0,0
265,525,529,TWO LANE,0.102744,MONTEREY DUNES W,9,1,1,1,30,0,0,9.261544921,0,0,0
