ataz,ptaz,util
649,652,-0.43737
649,658,-1.1468
649,660,-0.8924300000000001
649,661,-0.88084
649,663,-0.49837
649,690,-3.41966
649,691,-3.40807
649,710,-1.74033
649,714,-2.074
649,736,-3.28119
649,741,-3.30193
649,759,-3.47273
649,1079,-1.16998
649,1080,-0.94977
649,1081,-0.9918600000000001
649,1084,-1.1028799999999999
649,1085,-1.28954
649,1088,-1.48779
649,1126,-2.0599700000000003
649,1127,-2.3302
649,1128,-2.09413
649,1130,-2.00812
649,1132,-2.2423599999999997
649,1133,-2.08254
652,649,-0.43737
652,658,-1.15656
652,660,-0.82167
652,661,-0.8100799999999999
652,663,-0.56852
652,690,-3.42942
652,691,-3.41783
652,710,-1.7507
652,714,-2.08376
652,736,-3.29095
652,741,-3.31169
652,759,-3.4824900000000003
652,1079,-1.0992199999999999
652,1080,-0.8784
652,1081,-0.9210999999999999
652,1084,-1.0321200000000001
652,1085,-1.21817
652,1088,-1.49755
652,1126,-1.98921
652,1127,-2.25883
652,1128,-2.02276
652,1130,-1.93736
652,1132,-2.1716
652,1133,-2.01178
658,649,-1.1468
658,652,-1.15656
658,660,-0.41907
658,661,-0.65087
658,663,-0.73566
658,690,-2.35094
658,691,-2.33935
658,710,-0.6581899999999999
658,714,-1.00528
658,736,-2.21247
658,741,-2.2332099999999997
658,759,-2.4040099999999995
658,1079,-0.87596
658,1080,-0.65514
658,1081,-0.6978399999999999
658,1084,-0.58926
658,1085,-0.40565
658,1088,-0.40565
658,1126,-1.64883
658,1127,-1.64578
658,1128,-1.27368
658,1130,-1.18767
658,1132,-1.42252
658,1133,-1.2627
660,649,-0.8924300000000001
660,652,-0.82167
660,658,-0.41907
660,661,-0.47396999999999995
660,663,-0.6734399999999999
660,690,-2.69193
660,691,-2.6797299999999997
660,710,-1.0126000000000002
660,714,-1.34627
660,736,-2.55346
660,741,-2.5742000000000003
660,759,-2.74439
660,1079,-0.50874
660,1080,-0.28853
660,1081,-0.33061999999999997
660,1084,-0.44164
660,1085,-0.6283000000000001
660,1088,-0.7600600000000001
660,1126,-1.58661
660,1127,-1.8049899999999999
660,1128,-1.4328899999999998
660,1130,-1.3468799999999999
660,1132,-1.58112
660,1133,-1.4213
661,649,-0.88084
661,652,-0.8100799999999999
661,658,-0.65087
661,660,-0.47396999999999995
661,663,-0.5124
661,690,-2.92373
661,691,-2.91214
661,710,-1.2444
661,714,-1.57807
661,736,-2.7852599999999996
661,741,-2.806
661,759,-2.9768
661,1079,-0.93086
661,1080,-0.71065
661,1081,-0.75274
661,1084,-0.86376
661,1085,-0.9918600000000001
661,1088,-0.9918600000000001
661,1126,-2.00873
661,1127,-2.2271099999999997
661,1128,-1.85501
661,1130,-1.769
661,1132,-2.0032400000000004
661,1133,-1.8434199999999998
663,649,-0.49837
663,652,-0.56852
663,658,-0.73566
663,660,-0.6734399999999999
663,661,-0.5124
663,690,-3.00852
663,691,-2.99693
663,710,-1.3298
663,714,-1.66286
663,736,-2.8700499999999995
663,741,-2.89079
663,759,-3.06159
663,1079,-0.99003
663,1080,-0.76921
663,1081,-0.81191
663,1084,-0.9223199999999999
663,1085,-1.0772599999999999
663,1088,-1.0766499999999999
663,1126,-2.06546
663,1127,-2.28567
663,1128,-1.91357
663,1130,-1.82756
663,1132,-2.0618
663,1133,-1.90259
690,649,-3.37696
690,652,-3.38733
690,658,-2.2997
690,660,-2.6492299999999998
690,661,-2.8810299999999995
690,663,-2.96582
690,691,-0.16348000000000001
690,710,-1.708
690,714,-1.3151599999999999
690,736,-0.35196999999999995
690,741,-0.32025
690,759,-0.21838
690,1079,-2.6498399999999998
690,1080,-2.67302
690,1081,-2.6217799999999998
690,1084,-2.46196
690,1085,-2.27835
690,1088,-2.28933
690,1126,-2.54614
690,1127,-2.2875
690,1128,-2.32227
690,1130,-2.1752599999999997
690,1132,-2.22406
690,1133,-2.2362599999999997
691,649,-3.36537
691,652,-3.37513
691,658,-2.2875
691,660,-2.63764
691,661,-2.86944
691,663,-2.95423
691,690,-0.16348000000000001
691,710,-1.6958
691,714,-1.3035700000000001
691,736,-0.38613
691,741,-0.35502
691,759,-0.25315000000000004
691,1079,-2.63764
691,1080,-2.66143
691,1081,-2.6095800000000002
691,1084,-2.44976
691,1085,-2.2667599999999997
691,1088,-2.27774
691,1126,-2.53394
691,1127,-2.27591
691,1128,-2.31068
691,1130,-2.1636699999999998
691,1132,-2.2118599999999997
691,1133,-2.2246699999999997
710,649,-1.74033
710,652,-1.7507
710,658,-0.6581899999999999
710,660,-1.0126000000000002
710,661,-1.2444
710,663,-1.3298
710,690,-1.70678
710,691,-1.69519
710,714,-0.6978399999999999
710,736,-1.56831
710,741,-1.58905
710,759,-1.7598500000000001
710,1079,-1.25233
710,1080,-1.03151
710,1081,-0.98027
710,1084,-0.8204499999999999
710,1085,-0.63745
710,1088,-0.6484300000000001
710,1126,-1.63602
710,1127,-1.3773799999999998
710,1128,-1.28588
710,1130,-1.20048
710,1132,-1.3139399999999999
710,1133,-1.2749
714,649,-2.074
714,652,-2.08376
714,658,-1.00528
714,660,-1.34627
714,661,-1.57807
714,663,-1.66286
714,690,-1.35786
714,691,-1.34627
714,710,-0.6978399999999999
714,736,-1.21939
714,741,-1.24013
714,759,-1.41093
714,1079,-1.8031599999999999
714,1080,-1.58234
714,1081,-1.56587
714,1084,-1.40605
714,1085,-1.22244
714,1088,-1.23342
714,1126,-1.73179
714,1127,-1.47315
714,1128,-1.50792
714,1130,-1.3609099999999998
714,1132,-1.40971
714,1133,-1.42252
736,649,-3.23849
736,652,-3.2488599999999996
736,658,-2.1612299999999998
736,660,-2.51076
736,661,-2.74256
736,663,-2.82735
736,690,-0.35196999999999995
736,691,-0.38613
736,710,-1.56953
736,714,-1.17669
736,741,-0.0488
736,759,-0.29158
736,1079,-2.51137
736,1080,-2.53455
736,1081,-2.48331
736,1084,-2.32349
736,1085,-2.13988
736,1088,-2.1508599999999998
736,1126,-2.40767
736,1127,-2.1490299999999998
736,1128,-2.1837999999999997
736,1130,-2.03679
736,1132,-2.08559
736,1133,-2.0984
741,649,-3.25923
741,652,-3.26899
741,658,-2.18197
741,660,-2.5315
741,661,-2.7632999999999996
741,663,-2.84809
741,690,-0.32025
741,691,-0.35502
741,710,-1.59027
741,714,-1.19743
741,736,-0.0488
741,759,-0.26108000000000003
741,1079,-2.53211
741,1080,-2.55529
741,1081,-2.50405
741,1084,-2.34423
741,1085,-2.16062
741,1088,-2.1716
741,1126,-2.42841
741,1127,-2.1697699999999998
741,1128,-2.20454
741,1130,-2.05753
741,1132,-2.10633
741,1133,-2.11853
759,649,-3.43003
759,652,-3.43979
759,658,-2.35216
759,660,-2.7022999999999997
759,661,-2.9341
759,663,-3.01889
759,690,-0.21838
759,691,-0.25315000000000004
759,710,-1.76046
759,714,-1.36823
759,736,-0.29158
759,741,-0.26108000000000003
