ataz,ptaz,util
649,652,-0.12189000000000001
649,658,-0.31960000000000005
649,660,-0.24871000000000004
649,661,-0.24548
649,663,-0.13889
649,690,-0.9530200000000001
649,691,-0.94979
649,710,-0.48501000000000005
649,714,-0.5780000000000001
649,736,-0.9144300000000001
649,741,-0.9202100000000001
649,759,-0.9678100000000001
649,1079,-0.32606
649,1080,-0.26469000000000004
649,1081,-0.27642000000000005
649,1084,-0.30735999999999997
649,1085,-0.35938000000000003
649,1088,-0.41463000000000005
649,1126,-0.5740900000000001
649,1127,-0.6494000000000001
649,1128,-0.58361
649,1130,-0.55964
649,1132,-0.62492
649,1133,-0.58038
652,649,-0.12189000000000001
652,658,-0.32232000000000005
652,660,-0.22899000000000003
652,661,-0.22576000000000002
652,663,-0.15844000000000003
652,690,-0.95574
652,691,-0.9525100000000001
652,710,-0.4879
652,714,-0.58072
652,736,-0.9171500000000001
652,741,-0.92293
652,759,-0.9705300000000001
652,1079,-0.30634
652,1080,-0.24480000000000002
652,1081,-0.25670000000000004
652,1084,-0.28764000000000006
652,1085,-0.33949
652,1088,-0.41735000000000005
652,1126,-0.55437
652,1127,-0.62951
652,1128,-0.56372
652,1130,-0.5399200000000001
652,1132,-0.6052000000000001
652,1133,-0.5606599999999999
658,649,-0.31960000000000005
658,652,-0.32232000000000005
658,660,-0.11679
658,661,-0.18139000000000002
658,663,-0.20502000000000004
658,690,-0.65518
658,691,-0.65195
658,710,-0.18343
658,714,-0.28016
658,736,-0.6165900000000001
658,741,-0.6223700000000001
658,759,-0.66997
658,1079,-0.24412
658,1080,-0.18258000000000002
658,1081,-0.19448000000000001
658,1084,-0.16422
658,1085,-0.11305000000000001
658,1088,-0.11305000000000001
658,1126,-0.45951000000000003
658,1127,-0.45866000000000007
658,1128,-0.35496
658,1130,-0.33099
658,1132,-0.39644
658,1133,-0.3519
660,649,-0.24871000000000004
660,652,-0.22899000000000003
660,658,-0.11679
660,661,-0.13209
660,663,-0.18767999999999999
660,690,-0.75021
660,691,-0.7468100000000001
660,710,-0.28220000000000006
660,714,-0.37519
660,736,-0.71162
660,741,-0.7174000000000001
660,759,-0.7648300000000001
660,1079,-0.14178000000000002
660,1080,-0.08041000000000001
660,1081,-0.09214
660,1084,-0.12308000000000001
660,1085,-0.17510000000000003
660,1088,-0.21182000000000004
