ataz,ptaz,time,dist
649,652,7.17,2.47
649,658,18.8,7.82
649,660,14.63,6.33
649,661,14.44,5.68
649,663,8.17,2.86
649,690,56.06,32.08
649,691,55.87,31.77
649,710,28.53,12.95
649,714,34.0,15.22
649,736,53.79,28.69
649,741,54.13,28.9
649,759,56.93,30.0
649,1079,19.18,7.68
649,1080,15.57,6.09
649,1081,16.26,6.22
649,1084,18.08,7.21
649,1085,21.14,8.73
649,1088,24.39,10.78
649,1126,33.77,17.27
649,1127,38.2,19.32
649,1128,34.33,15.45
649,1130,32.92,14.56
649,1132,36.76,16.3
649,1133,34.14,15.21
652,649,7.17,2.47
652,658,18.96,8.19
652,660,13.47,5.85
652,661,13.28,5.21
652,663,9.32,3.27
652,690,56.22,32.45
652,691,56.03,32.14
652,710,28.7,13.31
652,714,34.16,15.58
652,736,53.95,29.06
652,741,54.29,29.26
652,759,57.09,30.36
652,1079,18.02,7.21
652,1080,14.4,5.62
652,1081,15.1,5.75
652,1084,16.92,6.74
652,1085,19.97,8.26
652,1088,24.55,11.14
652,1126,32.61,16.8
652,1127,37.03,18.84
652,1128,33.16,14.98
652,1130,31.76,14.09
652,1132,35.6,15.82
652,1133,32.98,14.74
658,649,18.8,7.82
658,652,18.96,8.19
658,660,6.87,3.55
658,661,10.67,4.75
658,663,12.06,5.51
658,690,38.54,24.89
658,691,38.35,24.57
658,710,10.79,5.47
658,714,16.48,8.02
658,736,36.27,21.5
658,741,36.61,21.7
658,759,39.41,22.8
658,1079,14.36,6.77
658,1080,10.74,5.19
658,1081,11.44,5.31
658,1084,9.66,4.81
658,1085,6.65,3.3
658,1088,6.65,3.3
658,1126,27.03,14.6
658,1127,26.98,12.94
658,1128,20.88,10.52
658,1130,19.47,9.63
658,1132,23.32,11.36
658,1133,20.7,10.28
660,649,14.63,6.33
660,652,13.47,5.85
660,658,6.87,3.55
660,661,7.77,2.78
660,663,11.04,5.34
660,690,44.13,27.81
660,691,43.93,27.5
660,710,16.6,8.68
660,714,22.07,10.95
660,736,41.86,24.42
660,741,42.2,24.63
660,759,44.99,25.73
660,1079,8.34,3.51
660,1080,4.73,1.92
660,1081,5.42,2.05
660,1084,7.24,3.04
660,1085,10.3,4.56
660,1088,12.46,6.51
660,1126,26.01,14.23
660,1127,29.59,13.7
660,1128,23.49,11.28
660,1130,22.08,10.39
660,1132,25.92,12.12
660,1133,23.3,11.04
661,649,14.44,5.68
661,652,13.28,5.21
