ataz,ptaz,time,dist
661,658,10.67,4.75
661,660,7.77,2.78
661,663,8.4,3.26
661,690,47.93,29.02
661,691,47.74,28.7
661,710,20.4,9.88
661,714,25.87,12.15
661,736,45.66,25.63
661,741,46.0,25.83
661,759,48.8,26.93
661,1079,15.26,6.0
661,1080,11.65,4.42
661,1081,12.34,4.54
661,1084,14.16,5.53
661,1085,16.26,7.71
661,1088,16.26,7.71
661,1126,32.93,16.72
661,1127,36.51,16.2
661,1128,30.41,13.78
661,1130,29.0,12.89
661,1132,32.84,14.62
661,1133,30.22,13.53
663,649,8.17,2.86
663,652,9.32,3.27
663,658,12.06,5.51
663,660,11.04,5.34
663,661,8.4,3.26
663,690,49.32,29.78
663,691,49.13,29.46
663,710,21.8,10.64
663,714,27.26,12.91
663,736,47.05,26.39
663,741,47.39,26.59
663,759,50.19,27.69
663,1079,16.23,7.36
663,1080,12.61,5.78
663,1081,13.31,5.9
663,1084,15.12,6.89
663,1085,17.66,8.46
663,1088,17.65,8.47
663,1126,33.86,18.08
663,1127,37.47,17.55
663,1128,31.37,15.13
663,1130,29.96,14.24
663,1132,33.8,15.98
663,1133,31.19,14.89
690,649,55.36,31.66
690,652,55.53,32.03
690,658,37.7,23.61
690,660,43.43,27.39
690,661,47.23,28.6
690,663,48.62,29.35
690,691,2.68,1.32
690,710,28.0,19.32
690,714,21.56,16.63
690,736,5.77,3.55
690,741,5.25,3.39
690,759,3.58,3.99
690,1079,43.44,26.1
690,1080,43.82,26.28
690,1081,42.98,26.08
690,1084,40.36,24.84
690,1085,37.35,23.33
690,1088,37.53,23.43
690,1126,41.74,27.3
690,1127,37.5,24.2
690,1128,38.07,24.46
690,1130,35.66,23.02
690,1132,36.46,23.35
690,1133,36.66,23.62
691,649,55.17,31.35
691,652,55.33,31.72
691,658,37.5,23.3
691,660,43.24,27.08
691,661,47.04,28.28
691,663,48.43,29.04
691,690,2.68,1.32
691,710,27.8,19.01
691,714,21.37,16.31
691,736,6.33,4.15
691,741,5.82,3.99
691,759,4.15,4.59
691,1079,43.24,25.79
691,1080,43.63,25.97
691,1081,42.78,25.77
691,1084,40.16,24.52
691,1085,37.16,23.02
691,1088,37.34,23.12
691,1126,41.54,26.99
691,1127,37.31,23.89
691,1128,37.88,24.14
691,1130,35.47,22.71
691,1132,36.26,23.04
691,1133,36.47,23.31
710,649,28.53,12.95
710,652,28.7,13.31
710,658,10.79,5.47
710,660,16.6,8.68
710,661,20.4,9.88
710,663,21.8,10.64
710,690,27.98,19.32
710,691,27.79,19.01
710,714,11.44,5.78
710,736,25.71,15.93
710,741,26.05,16.13
710,759,28.85,17.23
710,1079,20.53,9.73
710,1080,16.91,8.15
710,1081,16.07,7.94
710,1084,13.45,6.7
710,1085,10.45,5.19
710,1088,10.63,5.29
710,1126,26.82,13.99
710,1127,22.58,10.89
710,1128,21.08,9.59
710,1130,19.68,8.7
710,1132,21.54,10.04
710,1133,20.9,9.35
714,649,34.0,15.22
714,652,34.16,15.58
714,658,16.48,8.02
714,660,22.07,10.95
714,661,25.87,12.15
714,663,27.26,12.91
714,690,22.26,17.05
714,691,22.07,16.73
714,710,11.44,5.78
714,736,19.99,13.66
714,741,20.33,13.86
714,759,23.13,14.96
714,1079,29.56,14.17
714,1080,25.94,12.58
714,1081,25.67,12.43
714,1084,23.05,11.19
714,1085,20.04,9.68
714,1088,20.22,9.78
714,1126,28.39,16.13
714,1127,24.15,13.03
714,1128,24.72,13.28
714,1130,22.31,11.85
714,1132,23.11,12.18
714,1133,23.32,12.45
736,649,53.09,28.27
736,652,53.26,28.64
736,658,35.43,20.22
736,660,41.16,24.0
736,661,44.96,25.21
736,663,46.35,25.96
736,690,5.77,3.55
736,691,6.33,4.15
736,710,25.73,15.93
736,714,19.29,13.24
736,741,0.8,0.25
736,759,4.78,1.79
736,1079,41.17,22.71
736,1080,41.55,22.89
736,1081,40.71,22.69
736,1084,38.09,21.45
736,1085,35.08,19.94
736,1088,35.26,20.04
736,1126,39.47,23.91
736,1127,35.23,20.81
736,1128,35.8,21.07
736,1130,33.39,19.63
736,1132,34.19,19.96
736,1133,34.4,20.23
741,649,53.43,28.47
741,652,53.59,28.84
741,658,35.77,20.42
741,660,41.5,24.2
741,661,45.3,25.41
741,663,46.69,26.17
741,690,5.25,3.39
741,691,5.82,3.99
741,710,26.07,16.13
741,714,19.63,13.44
741,736,0.8,0.25
741,759,4.28,1.79
741,1079,41.51,22.91
741,1080,41.89,23.1
741,1081,41.05,22.89
741,1084,38.43,21.65
741,1085,35.42,20.14
741,1088,35.6,20.24
741,1126,39.81,24.12
741,1127,35.57,21.01
741,1128,36.14,21.27
741,1130,33.73,19.83
741,1132,34.53,20.16
741,1133,34.73,20.44
759,649,56.23,29.58
759,652,56.39,29.94
759,658,38.56,21.52
759,660,44.3,25.31
759,661,48.1,26.51
759,663,49.49,27.27
759,690,3.58,3.99
759,691,4.15,4.59
759,710,28.86,17.23
759,714,22.43,14.54
759,736,4.78,1.79
759,741,4.28,1.79
759,1079,44.3,24.01
759,1080,44.69,24.2
759,1081,43.84,23.99
759,1084,41.22,22.75
759,1085,38.22,21.24
759,1088,38.4,21.34
759,1126,42.6,25.22
759,1127,38.37,22.12
759,1128,38.94,22.37
759,1130,36.53,20.94
759,1132,37.32,21.27
759,1133,37.53,21.54
1079,649,19.18,7.68
1079,652,18.02,7.21
1079,658,14.36,6.77
1079,660,8.34,3.51
1079,661,15.26,6.0
1079,663,16.08,7.36
1079,690,45.9,27.13
1079,691,45.7,26.81
1079,710,20.53,9.73
1079,714,29.56,14.17
1079,736,43.63,23.74
1079,741,43.97,23.94
1079,759,46.76,25.04
1079,1080,4.44,1.8
1079,1081,6.24,2.37
1079,1084,8.06,3.36
1079,1085,11.11,4.88
1079,1088,16.57,7.66
1079,1126,20.63,10.49
1079,1127,23.96,11.64
1079,1128,17.85,9.22
1079,1130,16.45,8.33
1079,1132,20.29,10.07
1079,1133,17.67,8.98
1080,649,15.57,6.09
1080,652,14.4,5.62
1080,658,10.74,5.19
1080,660,4.73,1.92
1080,661,11.65,4.42
1080,663,12.47,5.78
1080,690,44.69,27.29
1080,691,44.5,26.98
1080,710,16.91,8.15
1080,714,25.94,12.58
1080,736,42.42,23.9
1080,741,42.76,24.1
1080,759,45.56,25.21
1080,1079,4.44,1.8
1080,1081,2.63,0.79
1080,1084,4.44,1.77
1080,1085,7.5,3.3
1080,1088,12.96,6.07
1080,1126,22.36,10.84
1080,1127,25.69,12.0
1080,1128,19.58,9.58
1080,1130,18.18,8.69
1080,1132,22.02,10.42
1080,1133,19.4,9.33
1081,649,16.26,6.22
1081,652,15.1,5.75
1081,658,11.44,5.31
1081,660,5.42,2.05
1081,661,12.34,4.54
1081,663,13.16,5.91
1081,690,43.85,27.09
1081,691,43.66,26.77
1081,710,16.07,7.94
1081,714,25.67,12.43
1081,736,41.58,23.7
1081,741,41.92,23.9
1081,759,44.72,25.0
1081,1079,6.24,2.37
1081,1080,2.63,0.79
1081,1084,3.6,1.57
1081,1085,6.66,3.1
1081,1088,12.11,5.87
1081,1126,24.16,11.41
1081,1127,27.49,12.56
1081,1128,21.38,10.14
1081,1130,19.98,9.25
1081,1132,23.82,10.99
1081,1133,21.2,9.9
1084,649,18.08,7.21
1084,652,16.92,6.74
1084,658,9.66,4.81
1084,660,7.24,3.04
1084,661,14.16,5.53
1084,663,14.98,6.89
1084,690,41.23,25.85
1084,691,41.04,25.53
1084,710,13.45,6.7
1084,714,23.05,11.19
1084,736,38.96,22.45
1084,741,39.3,22.66
1084,759,42.1,23.76
1084,1079,8.06,3.36
1084,1080,4.44,1.77
1084,1081,3.6,1.57
1084,1085,4.04,1.85
1084,1088,9.49,4.62
1084,1126,25.98,12.4
1084,1127,26.34,12.48
1084,1128,20.24,10.06
1084,1130,18.83,9.17
1084,1132,22.67,10.9
1084,1133,20.06,9.82
1085,649,21.14,8.73
1085,652,19.97,8.26
1085,658,6.65,3.3
1085,660,10.3,4.56
1085,661,16.26,7.71
1085,663,17.66,8.46
1085,690,38.22,24.34
1085,691,38.03,24.02
1085,710,10.45,5.19
1085,714,20.04,9.68
1085,736,35.96,20.95
1085,741,36.29,21.15
1085,759,39.09,22.25
1085,1079,11.11,4.88
1085,1080,7.5,3.3
1085,1081,6.66,3.1
1085,1084,4.04,1.85
1085,1088,6.49,3.12
1085,1126,23.38,12.63
1085,1127,23.33,10.97
1085,1128,17.23,8.55
1085,1130,15.83,7.66
1085,1132,19.67,9.4
1085,1133,17.05,8.31
1088,649,24.39,10.78
1088,652,24.55,11.14
1088,658,6.65,3.3
1088,660,12.46,6.51
1088,661,16.26,7.71
1088,663,17.65,8.47
1088,690,38.41,24.44
1088,691,38.21,24.12
1088,710,10.63,5.29
1088,714,20.22,9.78
1088,736,36.14,21.05
1088,741,36.48,21.25
1088,759,39.27,22.35
1088,1079,16.57,7.66
1088,1080,12.96,6.07
1088,1081,12.11,5.87
1088,1084,9.49,4.62
1088,1085,6.49,3.12
1088,1126,26.86,14.42
1088,1127,26.82,12.75
1088,1128,20.72,10.33
1088,1130,19.31,9.44
1088,1132,23.15,11.18
1088,1133,20.53,10.09
1126,649,33.65,17.19
1126,652,32.49,16.72
1126,658,27.03,14.6
1126,660,25.84,14.02
1126,661,32.76,16.52
1126,663,33.54,17.89
1126,690,42.12,27.56
1126,691,41.93,27.24
1126,710,27.23,13.67
1126,714,28.86,16.68
1126,736,39.85,24.17
1126,741,40.19,24.37
1126,759,42.99,25.47
1126,1079,20.63,10.49
1126,1080,22.36,10.84
1126,1081,24.16,11.41
1126,1084,25.98,12.4
1126,1085,23.38,12.63
1126,1088,26.86,14.42
1126,1127,10.09,4.62
1126,1128,8.04,4.37
1126,1130,10.36,5.91
1126,1132,10.64,5.81
1126,1133,9.28,5.37
1127,649,38.08,19.24
1127,652,36.92,18.77
1127,658,28.22,14.24
1127,660,29.82,13.77
1127,661,36.74,16.27
1127,663,37.55,17.63
1127,690,38.06,24.41
1127,691,37.86,24.1
1127,710,23.37,11.26
1127,714,24.8,13.53
1127,736,35.79,21.02
1127,741,36.13,21.23
1127,759,38.92,22.33
1127,1079,24.18,11.72
1127,1080,25.91,12.07
1127,1081,27.71,12.64
1127,1084,27.58,13.79
1127,1085,24.57,12.28
1127,1088,28.06,14.06
1127,1126,10.09,4.62
1127,1128,9.23,4.01
1127,1130,11.55,5.55
1127,1132,10.33,3.84
1127,1133,10.48,5.01
1128,649,34.33,15.45
1128,652,33.16,14.98
1128,658,20.88,10.52
1128,660,23.49,11.28
1128,661,30.41,13.78
1128,663,31.22,15.14
1128,690,37.82,24.32
1128,691,37.62,24.01
1128,710,21.08,9.59
1128,714,24.56,13.44
1128,736,35.55,20.93
1128,741,35.89,21.13
1128,759,38.68,22.23
1128,1079,17.85,9.22
1128,1080,19.58,9.58
1128,1081,21.38,10.14
1128,1084,20.24,10.06
1128,1085,17.23,8.55
1128,1088,20.72,10.33
1128,1126,8.04,4.37
1128,1127,9.23,4.01
1128,1130,5.35,2.44
1128,1132,8.85,4.5
1128,1133,6.57,3.09
1130,649,32.92,14.56
1130,652,31.76,14.09
1130,658,19.47,9.63
1130,660,22.08,10.39
1130,661,29.0,12.89
1130,663,29.82,14.25
1130,690,35.41,22.89
1130,691,35.22,22.57
1130,710,19.68,8.7
1130,714,22.15,12.01
1130,736,33.14,19.5
1130,741,33.48,19.7
1130,759,36.28,20.8
1130,1079,16.45,8.33
1130,1080,18.18,8.69
1130,1081,19.98,9.25
1130,1084,18.83,9.17
1130,1085,15.83,7.66
1130,1088,19.31,9.44
1130,1126,10.36,5.91
1130,1127,10.32,4.25
1130,1128,5.35,2.44
1130,1132,6.65,2.67
1130,1133,4.03,1.58
1132,649,36.76,16.3
1132,652,35.6,15.82
1132,658,23.32,11.36
1132,660,25.92,12.12
1132,661,32.84,14.62
1132,663,33.66,15.98
1132,690,36.84,23.61
1132,691,36.65,23.29
1132,710,22.15,10.45
1132,714,23.58,12.73
1132,736,34.57,20.22
1132,741,34.91,20.42
1132,759,37.71,21.52
1132,1079,20.29,10.07
1132,1080,22.02,10.42
1132,1081,23.82,10.99
1132,1084,22.67,10.9
1132,1085,19.67,9.4
1132,1088,23.15,11.18
1132,1126,10.64,5.81
1132,1127,9.03,3.43
1132,1128,8.85,4.5
1132,1130,6.65,2.67
1132,1133,5.57,2.13
1133,649,34.14,15.21
1133,652,32.98,14.74
1133,658,20.7,10.28
1133,660,23.3,11.04
1133,661,30.22,13.53
1133,663,31.04,14.89
1133,690,36.63,23.54
1133,691,36.44,23.22
1133,710,20.9,9.35
1133,714,23.38,12.66
1133,736,34.36,20.15
1133,741,34.7,20.35
1133,759,37.5,21.45
1133,1079,17.67,8.98
1133,1080,19.4,9.33
1133,1081,21.2,9.9
1133,1084,20.06,9.82
1133,1085,17.05,8.31
1133,1088,20.53,10.09
1133,1126,9.28,5.37
1133,1127,9.24,3.71
1133,1128,6.57,3.09
1133,1130,4.03,1.58
1133,1132,5.57,2.13
