ptaz,ataz,da,s2,s3,wt,dt,wk,bk
649,652,0.0950014833897001,0.6412600128804761,0.8945973019196759,0.0,0.0,1.5915563948252496,0.203594126984898
649,1126,0.01591026,0.0795513,0.12728208,0.0,0.0,0.0,0.0
649,1132,0.0,0.017678066666666666,0.03535613333333333,0.0,0.0,0.0,0.0
652,652,0.6682338281248617,1.9395079401672817,0.4889515815547768,0.0,0.0,2.154017882860384,0.024731807292695415
652,1126,0.018467871578947373,0.12927510105263162,0.2031465873684211,0.0,0.0,0.0,0.0
652,1132,0.0,0.033878992000000004,0.050818487999999995,0.0,0.0,0.0,0.0
658,652,0.0,0.04566810807651837,0.06089081076869116,0.0,0.0,0.0019221296206302066,0.0041761115341602565
658,1126,0.0,0.032772992,0.049159488,0.0,0.0,0.0,0.0
658,1132,0.0,0.016720462568527567,0.033440925137055134,0.0,0.0,0.0,0.0010464122944173202
660,652,0.0,0.02713465120015093,0.040701976800226386,0.0,0.0,0.009057785544707236,0.005038066454915434
660,1126,0.0,0.013655413333333331,0.027310826666666663,0.0,0.0,0.0,0.0
661,652,0.012741633109974409,0.07644979865984647,0.10193306487979527,0.0,0.0,0.0280541034164792,0.01637727993390468
661,1126,0.0,0.013655413333333331,0.027310826666666663,0.0,0.0,0.0,0.0
663,652,0.009653861964697823,0.0868847576822804,0.12550020554107172,0.0,0.0,0.1236403503408234,0.023016984471126732
663,1126,0.0,0.01536234,0.01536234,0.0,0.0,0.0,0.0
710,652,0.009545813333333335,0.07636650666666668,0.11454976,0.0,0.0,0.0,0.0
710,1126,0.028514002758620687,0.20910268689655173,0.31365403034482764,0.0,0.0,0.0,0.0
710,1127,0.0,0.027886617581347868,0.0371821567751305,0.0,0.0,0.0,0.003840065643521629
710,1132,0.018934133917090614,0.1420060043781795,0.2082754730879967,0.0,0.0,0.0,0.006650788616733183
714,652,0.0,0.0,0.01252888,0.0,0.0,0.0,0.0
714,1126,0.0,0.020046208000000003,0.030069312,0.0,0.0,0.0,0.0
714,1132,0.0,0.010440733333333334,0.020881466666666668,0.0,0.0,0.0,0.0
736,1126,0.0,0.01406058,0.01406058,0.0,0.0,0.0,0.0
736,1132,0.0,0.0,0.01874744,0.0,0.0,0.0,0.0
741,1126,0.0,0.01406058,0.01406058,0.0,0.0,0.0,0.0
741,1132,0.0,0.0,0.01874744,0.0,0.0,0.0,0.0
1079,652,0.009061676738916278,0.07249341391133023,0.09967844412807908,0.0,0.0,0.008581166182808492,0.008208339038865973
1079,1126,0.01898661629509904,0.11391969777059427,0.1708795466558914,0.0,0.0,0.0,0.009218299278415332
1079,1127,0.0,0.0,0.012401055658787826,0.0,0.0,0.0,0.0003746243412121701
1079,1132,0.009222839572942114,0.036891358291768456,0.06455987701059482,0.0,0.0,0.0,0.004307045124694653
1080,652,0.057275862345467575,0.4336601006156831,0.6136699537014382,0.0,0.0,0.16349051261555125,0.07973781072186001
1080,1126,0.048140688965592544,0.3754973739316218,0.5584319920008737,0.0,0.0,0.0,0.0208208251019123
1080,1127,0.0,0.017516250925011804,0.02627437638751771,0.0,0.0,0.0,0.0009242526874704768
