ptaz,ataz,da,s2,s3,wt,dt,wk,bk
1085,649,0.1038292416819264,0.07268046917734848,0.07268046917734848,0.0,0.0,0.00047758448450287307,0.00033223547887372513
1085,652,0.2669163691123107,0.1950542697359194,0.2053202839325468,0.0,0.0,0.0017589581981353613,0.000950119021087747
1085,658,1.3415444518228503,0.9498526410716528,0.9596449363404324,0.0,0.0,0.18324107439354734,0.015716896371517464
1085,660,0.07223697848612484,0.05159784177580348,0.05159784177580348,0.0,0.0,0.004240871663735118,0.00032646629853312365
1085,661,0.10337181484489116,0.0723602703914238,0.08269745187591288,0.0,0.0,0.0011535108180974122,0.00041695206967477154
1085,663,0.039871035061921266,0.029903276296440937,0.029903276296440937,0.0,0.0,0.00017566172153696963,0.0001467506236598401
1085,710,1.775415325027227,1.2652385074906676,1.295849116542862,0.0,0.0,0.06703297524686883,0.006464075692373922
1085,714,0.07383354671202276,0.05273824765144483,0.0632858971817338,0.0,0.0,0.00014230845479862306,0.0
1085,1079,0.3241706274004492,0.2329976384440729,0.2431279705503369,0.0,0.0,0.017217803137112783,0.0024859604680281394
1085,1080,1.2354818679034298,0.8726816368524227,0.8824870485024499,0.0,0.0,0.17027331257146816,0.009076134170229013
1085,1081,1.4957049324268057,1.048935926636981,1.0683606660191474,0.0,0.0,0.23528945915472874,0.011709015762335656
1085,1084,0.7199350403795449,0.5039545282656814,0.5039545282656814,0.0,0.0,0.2624232734268,0.009732629662291879
1085,1085,3.613579728369442,1.936083083823629,0.6630421519943934,0.0,0.0,6.011031612201568,0.04626342361096647
1085,1088,1.410624658656818,0.9923014840206584,1.0117583758642004,0.0,0.0,0.21946924101308246,0.0158462404452405
1085,1126,0.12385635190990076,0.09289226393242556,0.09289226393242556,0.0,0.0,0.0,0.000359120225248033
1085,1127,0.2074580425014559,0.1555935318760919,0.1659664340011648,0.0,0.0,0.0,0.0009819916212873148
1085,1128,0.16339483028967314,0.12254612271725494,0.12254612271725494,0.0,0.0,0.0006391008856343112,0.0008738233901826402
1085,1130,0.039782438892826885,0.029836829169620174,0.029836829169620174,0.0,0.0,0.00028737591524557104,0.00025652685268720077
1085,1132,0.5343357810482784,0.3904761476891264,0.41102752388329095,0.0,0.0,0.0011921762288154966,0.0029683711504894378
1085,1133,0.10372165172969557,0.07260515621078688,0.07260515621078688,0.0,0.0,0.0004654240799081589,0.0006026117688223662
1088,649,0.103829112433857,0.07268037870369988,0.08306328994708559,0.0,0.0,0.0,0.00042721891535769946
1088,652,0.20747110333323765,0.15560332749992814,0.16597688266659008,0.0,0.0,0.0,0.0009486865002443777
1088,658,1.7487391325949977,1.2309560374691049,1.2504950221908366,0.0,0.0,0.23805521289907305,0.031754594845987534
1088,660,0.06369330180467928,0.04246220120311953,0.04246220120311953,0.0,0.0,0.0009353316237526897,0.00044696416532903263
1088,661,0.14323988390383166,0.10231420278845126,0.11254562306729636,0.0,0.0,0.0010031704658319976,0.0008971197745886568
1088,663,0.07359762984881643,0.05256973560629749,0.06308368272755699,0.0,0.0,0.00031631526740610844,0.00043263654992303807
1088,710,2.5515357950513504,1.8268996292567676,1.8677242019775884,0.0,0.0,0.09007845655430764,0.013761917159987369
1088,714,0.10392732395933636,0.07274912677153546,0.08314185916746908,0.0,0.0,0.0001816901016591932,0.0
1088,1079,0.16311677427800306,0.12233758070850227,0.12233758070850227,0.0,0.0,0.0013353197106288545,0.0008727445943634088
1088,1080,0.5842628793370742,0.4202592640845623,0.4305094900378442,0.0,0.0,0.012311730710409323,0.002656635830109371
1088,1081,0.7262535931346034,0.5216751161952788,0.5319040400422451,0.0,0.0,0.01746587060978523,0.002701380018087493
1088,1084,0.21286940393879766,0.1520495742419984,0.1520495742419984,0.0,0.0,0.011831468142430144,0.0011999794347752786
1088,1085,1.4853303211181557,1.0484684619657565,1.058176503280254,0.0,0.0,0.23086410634876586,0.01716060728706859
1088,1088,49.89650368722268,26.70871984745952,9.137193632025623,0.0,0.0,82.95909480115841,0.6384880321337363
1088,1126,0.124,0.093,0.093,0.0,0.0,0.0,0.0
1088,1127,0.1976737710458198,0.14565435761270934,0.15605824029933138,0.0,0.0,0.0,0.0006136310421392954
1088,1128,0.16376809615090118,0.12282607211317585,0.12282607211317585,0.0,0.0,0.0,0.0005797596227470891
1088,1130,0.0299158020266968,0.0299158020266968,0.0299158020266968,0.0,0.0,9.9359391335726e-05,0.00015323452857384849
1088,1132,0.4550449383837173,0.341283703787788,0.3619675646234116,0.0,0.0,0.0,0.0017037932050836258
1088,1133,0.09369577801731284,0.07287449401346552,0.07287449401346552,0.0,0.0,0.00017153059501618474,0.0003837033607399445
1126,649,0.06,0.05,0.05,0.0,0.0,0.0,0.0
1126,652,0.15374999999999994,0.12299999999999997,0.13324999999999998,0.0,0.0,0.0,0.0
1126,658,0.084,0.063,0.063,0.0,0.0,0.0,0.0
1126,660,0.02,0.01,0.01,0.0,0.0,0.0,0.0
1126,661,0.03,0.02,0.02,0.0,0.0,0.0,0.0
1126,663,0.01,0.01,0.01,0.0,0.0,0.0,0.0
1126,710,0.33170731707317075,0.24878048780487805,0.26951219512195124,0.0,0.0,0.0,0.0
1126,714,0.06,0.05,0.05,0.0,0.0,0.0,0.0
1126,1079,0.2075033034555499,0.15562747759166234,0.15562747759166234,0.0,0.0,0.0,0.0012417413611255368
1126,1080,0.26730744659681505,0.2056211127667808,0.2159021684051198,0.0,0.0,0.0,0.0011692722312842685
1126,1081,0.21760932675023645,0.1657975822858945,0.1657975822858945,0.0,0.0,0.0,0.0007955086779746213
1126,1084,0.01997425302057472,0.01997425302057472,0.01997425302057472,0.0,0.0,0.0,7.72409382758174e-05
1126,1085,0.124,0.09300000000000001,0.09300000000000001,0.0,0.0,0.0,0.0
1126,1088,0.11392857142857145,0.08285714285714288,0.09321428571428574,0.0,0.0,0.0,0.0
1126,1126,61.06989252555906,32.69659501015547,11.186200726451485,0.0,0.0,101.54577282617285,0.7815389116610447
1126,1127,9.727300525123667,6.928220169935019,7.0572557891458425,0.0,0.0,0.9305820196930318,0.1466414961024387
1126,1128,5.309504985695793,3.7709552455225808,3.8413464101056674,0.0,0.0,0.3460466942668671,0.06214666440909367
1126,1130,0.5534265180251806,0.3996969296848528,0.4099455689075413,0.0,0.0,0.012666179404224938,0.004264803978200442
