taz,polyno,pointno,xcoord,ycoord
663,1,1,-121.741854,36.965644
663,1,2,-121.74166000000001,36.965392
663,1,3,-121.73978000000001,36.964868
663,1,4,-121.733557,36.964636
663,1,5,-121.731392,36.961503
663,1,6,-121.73660600000001,36.958021
663,1,7,-121.73957,36.95491
663,1,8,-121.739722,36.954815
663,1,9,-121.740276,36.954698
663,1,10,-121.741104,36.954901
663,1,11,-121.741394,36.954892
663,1,12,-121.74197099999999,36.954607
663,1,13,-121.74224,36.954562
663,1,14,-121.74311599999999,36.954845
663,1,15,-121.745493,36.954941
663,1,16,-121.745474,36.955465999999994
663,1,17,-121.745622,36.956122
663,1,18,-121.74623999999999,36.957507
663,1,19,-121.74629399999999,36.957662
663,1,20,-121.74625900000001,36.957904
663,1,21,-121.746071,36.95863
663,1,22,-121.74581299999998,36.959308
663,1,23,-121.74574299999999,36.95971
663,1,24,-121.74531599999999,36.959989
663,1,25,-121.744722,36.960770000000004
663,1,26,-121.74448500000001,36.961177
663,1,27,-121.744298,36.961749
663,1,28,-121.74431799999999,36.961915000000005
663,1,29,-121.744597,36.962329
663,1,30,-121.74538899999999,36.963053
663,1,31,-121.74351999999999,36.964362
663,1,32,-121.741854,36.965644
691,1,1,-121.41187099999999,36.881890000000006
691,1,2,-121.411874,36.885828000000004
691,1,3,-121.405782,36.88564
691,1,4,-121.402285,36.881479
691,1,5,-121.41187099999999,36.881890000000006
759,1,1,-121.39894199999999,36.843503000000005
759,1,2,-121.39896,36.839614000000005
759,1,3,-121.40015600000001,36.839614000000005
759,1,4,-121.40014099999999,36.843503000000005
759,1,5,-121.39894199999999,36.843503000000005
736,1,1,-121.412498,36.854034999999996
736,1,2,-121.413271,36.854040999999995
736,1,3,-121.41327,36.855545
736,1,4,-121.413453,36.855926000000004
736,1,5,-121.414105,36.856615999999995
736,1,6,-121.414177,36.856932
736,1,7,-121.41416399999999,36.857237
736,1,8,-121.412501,36.857236
736,1,9,-121.412498,36.854034999999996
741,1,1,-121.40898700000001,36.855482
741,1,2,-121.41249199999999,36.85548
741,1,3,-121.412501,36.857236
741,1,4,-121.409227,36.857231
741,1,5,-121.40898700000001,36.855482
652,1,1,-121.745493,36.954941
652,1,2,-121.74311599999999,36.954845
652,1,3,-121.74224,36.954562
652,1,4,-121.74197099999999,36.954607
652,1,5,-121.741394,36.954892
652,1,6,-121.741104,36.954901
652,1,7,-121.740276,36.954698
652,1,8,-121.739722,36.954815
652,1,9,-121.73957,36.95491
652,1,10,-121.73660600000001,36.958021
652,1,11,-121.731392,36.961503
652,1,12,-121.730602,36.960399
652,1,13,-121.730092,36.958406
652,1,14,-121.727539,36.956134000000006
652,1,15,-121.72976000000001,36.953903000000004
652,1,16,-121.733829,36.949422999999996
652,1,17,-121.73571499999998,36.947232
652,1,18,-121.737719,36.944588
652,1,19,-121.73950500000001,36.942485
652,1,20,-121.74198700000001,36.939240000000005
652,1,21,-121.74264699999999,36.938291
652,1,22,-121.742975,36.93752
652,1,23,-121.743201,36.936642
652,1,24,-121.743277,36.935961999999996
652,1,25,-121.74439,36.936223999999996
652,1,26,-121.74446699999999,36.938179
652,1,27,-121.744584,36.938295000000004
652,1,28,-121.74517800000001,36.938333
652,1,29,-121.745319,36.938248
652,1,30,-121.745251,36.936428
652,1,31,-121.756592,36.939078
652,1,32,-121.757398,36.939125
652,1,33,-121.757951,36.939031
652,1,34,-121.75881100000001,36.938779
652,1,35,-121.75928400000001,36.938735
652,1,36,-121.75985800000001,36.938777
652,1,37,-121.76906000000001,36.940974
652,1,38,-121.76939899999999,36.941112
652,1,39,-121.76533700000002,36.948352
652,1,40,-121.76253799999999,36.948172
652,1,41,-121.76254499999999,36.951276
652,1,42,-121.764877,36.951359000000004
652,1,43,-121.764904,36.953866999999995
652,1,44,-121.761509,36.95375
652,1,45,-121.76149699999999,36.955276
652,1,46,-121.76101799999999,36.955225
652,1,47,-121.76056200000001,36.954926
652,1,48,-121.760424,36.955174
652,1,49,-121.760396,36.955631
652,1,50,-121.75781599999999,36.955462
652,1,51,-121.75681499999999,36.955523
652,1,52,-121.745493,36.954941
690,1,1,-121.402285,36.881479
690,1,2,-121.400342,36.881396
690,1,3,-121.40033500000001,36.874614
690,1,4,-121.40079399999999,36.869372999999996
690,1,5,-121.40606399999999,36.869512
690,1,6,-121.40893999999999,36.872878
690,1,7,-121.40996499999999,36.874592
690,1,8,-121.41242700000001,36.878085
690,1,9,-121.414075,36.880679
690,1,10,-121.415173,36.882052
690,1,11,-121.402285,36.881479
649,1,1,-121.741854,36.965644
