ataz,ptaz,util
649,652,-0.09321
649,658,-0.2444
649,660,-0.19019
649,661,-0.18772
649,663,-0.10621
649,690,-0.72878
649,691,-0.7263099999999999
649,710,-0.37089
649,714,-0.442
649,736,-0.69927
649,741,-0.70369
649,759,-0.7400899999999999
649,1079,-0.24933999999999998
649,1080,-0.20241
649,1081,-0.21138
649,1084,-0.23503999999999997
649,1085,-0.27482
649,1088,-0.31707
649,1126,-0.43901
649,1127,-0.49660000000000004
649,1128,-0.44628999999999996
649,1130,-0.42796
649,1132,-0.47787999999999997
649,1133,-0.44382
652,649,-0.09321
652,658,-0.24648
652,660,-0.17511
652,661,-0.17264
652,663,-0.12116
652,690,-0.73086
652,691,-0.72839
652,710,-0.3731
652,714,-0.4440799999999999
652,736,-0.70135
652,741,-0.70577
652,759,-0.74217
652,1079,-0.23426
652,1080,-0.1872
652,1081,-0.19629999999999997
652,1084,-0.21996000000000002
652,1085,-0.25960999999999995
652,1088,-0.31915
652,1126,-0.42393
652,1127,-0.48139
652,1128,-0.43107999999999996
652,1130,-0.41288
652,1132,-0.4628
652,1133,-0.42873999999999995
658,649,-0.2444
658,652,-0.24648
658,660,-0.08931
658,661,-0.13871
658,663,-0.15678
658,690,-0.50102
658,691,-0.49855
658,710,-0.14026999999999998
658,714,-0.21423999999999999
658,736,-0.47151000000000004
658,741,-0.47592999999999996
658,759,-0.51233
658,1079,-0.18667999999999998
658,1080,-0.13962
658,1081,-0.14872
658,1084,-0.12558
658,1085,-0.08645
658,1088,-0.08645
658,1126,-0.35139
658,1127,-0.35074
658,1128,-0.27143999999999996
658,1130,-0.25310999999999995
658,1132,-0.30316
658,1133,-0.2691
660,649,-0.19019
660,652,-0.17511
660,658,-0.08931
660,661,-0.10100999999999999
660,663,-0.14351999999999998
660,690,-0.57369
660,691,-0.57109
660,710,-0.21580000000000002
660,714,-0.28691
660,736,-0.54418
660,741,-0.5486
660,759,-0.58487
660,1079,-0.10841999999999999
660,1080,-0.06149
660,1081,-0.07046
660,1084,-0.09412
660,1085,-0.1339
660,1088,-0.16198
660,1126,-0.33813
660,1127,-0.38466999999999996
660,1128,-0.30537
660,1130,-0.28703999999999996
660,1132,-0.33696
660,1133,-0.3029
661,649,-0.18772
661,652,-0.17264
661,658,-0.13871
661,660,-0.10100999999999999
661,663,-0.1092
661,690,-0.6230899999999999
661,691,-0.62062
661,710,-0.2652
661,714,-0.33631
661,736,-0.5935799999999999
661,741,-0.598
661,759,-0.6344
661,1079,-0.19838
661,1080,-0.15145
661,1081,-0.16041999999999998
661,1084,-0.18408
661,1085,-0.21138
661,1088,-0.21138
661,1126,-0.42808999999999997
661,1127,-0.47462999999999994
661,1128,-0.39532999999999996
661,1130,-0.377
661,1132,-0.42692
661,1133,-0.39286
663,649,-0.10621
663,652,-0.12116
663,658,-0.15678
663,660,-0.14351999999999998
663,661,-0.1092
663,690,-0.64116
663,691,-0.63869
663,710,-0.2834
663,714,-0.35438000000000003
663,736,-0.6116499999999999
663,741,-0.61607
663,759,-0.65247
663,1079,-0.21098999999999998
663,1080,-0.16393
663,1081,-0.17303
663,1084,-0.19655999999999998
663,1085,-0.22957999999999998
663,1088,-0.22944999999999996
663,1126,-0.44017999999999996
663,1127,-0.48711
663,1128,-0.40781
663,1130,-0.38948
663,1132,-0.43939999999999996
663,1133,-0.40547
690,649,-0.71968
690,652,-0.72189
690,658,-0.49010000000000004
690,660,-0.5645899999999999
690,661,-0.6139899999999999
690,663,-0.63206
690,691,-0.03484
690,710,-0.364
690,714,-0.28028
690,736,-0.07501
690,741,-0.06824999999999999
690,759,-0.04654
690,1079,-0.56472
690,1080,-0.5696599999999999
690,1081,-0.5587399999999999
690,1084,-0.5246799999999999
690,1085,-0.48555
690,1088,-0.48789
690,1126,-0.54262
690,1127,-0.4875
690,1128,-0.49490999999999996
690,1130,-0.46357999999999994
690,1132,-0.47398
690,1133,-0.47657999999999995
691,649,-0.71721
691,652,-0.71929
