ataz,ptaz,util
649,652,-0.03585
649,658,-0.094
649,660,-0.07315
649,661,-0.0722
649,663,-0.04085
649,690,-0.2803
649,691,-0.27935
649,710,-0.14265
649,714,-0.17
649,736,-0.26895
649,741,-0.27065
649,759,-0.28465
649,1079,-0.0959
649,1080,-0.07785
649,1081,-0.08130000000000001
649,1084,-0.0904
649,1085,-0.1057
649,1088,-0.12195
649,1126,-0.16885000000000003
649,1127,-0.19100000000000003
649,1128,-0.17165
649,1130,-0.16460000000000002
649,1132,-0.1838
649,1133,-0.17070000000000002
652,649,-0.03585
652,658,-0.09480000000000001
652,660,-0.06735000000000001
652,661,-0.0664
652,663,-0.0466
652,690,-0.2811
652,691,-0.28015
652,710,-0.1435
652,714,-0.17079999999999998
652,736,-0.26975000000000005
652,741,-0.27145
652,759,-0.28545000000000004
652,1079,-0.0901
652,1080,-0.07200000000000001
652,1081,-0.0755
652,1084,-0.08460000000000001
652,1085,-0.09985
652,1088,-0.12275000000000001
652,1126,-0.16305
652,1127,-0.18515
652,1128,-0.16579999999999998
652,1130,-0.15880000000000002
652,1132,-0.17800000000000002
652,1133,-0.1649
658,649,-0.094
658,652,-0.09480000000000001
658,660,-0.03435
658,661,-0.05335
658,663,-0.060300000000000006
658,690,-0.1927
658,691,-0.19175
658,710,-0.05395
658,714,-0.0824
658,736,-0.18135
658,741,-0.18305
658,759,-0.19704999999999998
658,1079,-0.0718
658,1080,-0.053700000000000005
658,1081,-0.0572
658,1084,-0.0483
658,1085,-0.03325
658,1088,-0.03325
658,1126,-0.13515000000000002
658,1127,-0.1349
658,1128,-0.10439999999999999
658,1130,-0.09734999999999999
658,1132,-0.11660000000000001
658,1133,-0.1035
660,649,-0.07315
660,652,-0.06735000000000001
660,658,-0.03435
660,661,-0.038849999999999996
660,663,-0.0552
660,690,-0.22065
660,691,-0.21965
660,710,-0.083
660,714,-0.11035
660,736,-0.2093
660,741,-0.21100000000000002
660,759,-0.22495
660,1079,-0.0417
660,1080,-0.023650000000000004
660,1081,-0.0271
660,1084,-0.0362
660,1085,-0.051500000000000004
660,1088,-0.06230000000000001
660,1126,-0.13005
660,1127,-0.14795
660,1128,-0.11745
660,1130,-0.1104
660,1132,-0.12960000000000002
660,1133,-0.1165
661,649,-0.0722
661,652,-0.0664
661,658,-0.05335
661,660,-0.038849999999999996
661,663,-0.042
661,690,-0.23965
661,691,-0.23870000000000002
661,710,-0.102
661,714,-0.12935000000000002
661,736,-0.22829999999999998
661,741,-0.23
661,759,-0.244
661,1079,-0.0763
661,1080,-0.05825
661,1081,-0.0617
661,1084,-0.0708
661,1085,-0.08130000000000001
661,1088,-0.08130000000000001
661,1126,-0.16465
661,1127,-0.18255
661,1128,-0.15205
661,1130,-0.145
661,1132,-0.1642
661,1133,-0.15109999999999998
663,649,-0.04085
663,652,-0.0466
663,658,-0.060300000000000006
663,660,-0.0552
663,661,-0.042
663,690,-0.2466
663,691,-0.24565
663,710,-0.109
663,714,-0.1363
663,736,-0.23525
663,741,-0.23695
663,759,-0.25095
663,1079,-0.08115
663,1080,-0.06305
663,1081,-0.06655
663,1084,-0.0756
663,1085,-0.0883
663,1088,-0.08825
663,1126,-0.1693
663,1127,-0.18735
663,1128,-0.15685000000000002
663,1130,-0.14980000000000002
663,1132,-0.16899999999999998
663,1133,-0.15595
690,649,-0.2768
690,652,-0.27765
690,658,-0.18850000000000003
690,660,-0.21715
690,661,-0.23615
690,663,-0.24309999999999998
690,691,-0.0134
690,710,-0.14
690,714,-0.10779999999999999
690,736,-0.028849999999999997
690,741,-0.02625
690,759,-0.0179
690,1079,-0.2172
690,1080,-0.21910000000000002
690,1081,-0.21489999999999998
690,1084,-0.2018
690,1085,-0.18675
690,1088,-0.18765
690,1126,-0.20870000000000002
690,1127,-0.1875
690,1128,-0.19035000000000002
690,1130,-0.1783
690,1132,-0.18230000000000002
690,1133,-0.1833
691,649,-0.27585000000000004
691,652,-0.27665
691,658,-0.1875
691,660,-0.2162
691,661,-0.2352
691,663,-0.24215
691,690,-0.0134
691,710,-0.139
691,714,-0.10685
691,736,-0.03165
691,741,-0.0291
691,759,-0.02075
691,1079,-0.2162
691,1080,-0.21815
691,1081,-0.2139
691,1084,-0.20079999999999998
691,1085,-0.1858
691,1088,-0.18670000000000003
691,1126,-0.2077
691,1127,-0.18655000000000002
691,1128,-0.1894
691,1130,-0.17735
691,1132,-0.1813
691,1133,-0.18234999999999998
710,649,-0.14265
710,652,-0.1435
710,658,-0.05395
710,660,-0.083
710,661,-0.102
710,663,-0.109
710,690,-0.1399
710,691,-0.13895
710,714,-0.0572
710,736,-0.12855
710,741,-0.13025
710,759,-0.14425000000000002
710,1079,-0.10265
710,1080,-0.08455
710,1081,-0.08035
710,1084,-0.06725
710,1085,-0.05225
710,1088,-0.05315
710,1126,-0.1341
710,1127,-0.1129
710,1128,-0.1054
710,1130,-0.0984
710,1132,-0.1077
710,1133,-0.1045
714,649,-0.17
714,652,-0.17079999999999998
714,658,-0.0824
714,660,-0.11035
714,661,-0.12935000000000002
714,663,-0.1363
714,690,-0.11130000000000001
714,691,-0.11035
714,710,-0.0572
714,736,-0.09995
714,741,-0.10164999999999999
714,759,-0.11565
714,1079,-0.1478
714,1080,-0.1297
714,1081,-0.12835000000000002
714,1084,-0.11525
714,1085,-0.1002
714,1088,-0.1011
714,1126,-0.14195
714,1127,-0.12075
714,1128,-0.1236
714,1130,-0.11155
714,1132,-0.11555
714,1133,-0.11660000000000001
736,649,-0.26545
736,652,-0.2663
736,658,-0.17715
736,660,-0.20579999999999998
736,661,-0.2248
736,663,-0.23175
736,690,-0.028849999999999997
736,691,-0.03165
736,710,-0.12865000000000001
736,714,-0.09645
736,741,-0.004
736,759,-0.0239
736,1079,-0.20585
736,1080,-0.20775
736,1081,-0.20355
736,1084,-0.19045
736,1085,-0.1754
736,1088,-0.17629999999999998
736,1126,-0.19735
736,1127,-0.17615
736,1128,-0.179
736,1130,-0.16695000000000002
736,1132,-0.17095
736,1133,-0.172
741,649,-0.26715
741,652,-0.26795
741,658,-0.17885
741,660,-0.20750000000000002
741,661,-0.22649999999999998
741,663,-0.23345
741,690,-0.02625
741,691,-0.0291
741,710,-0.13035
741,714,-0.09815
741,736,-0.004
741,759,-0.021400000000000002
741,1079,-0.20754999999999998
741,1080,-0.20945
741,1081,-0.20525
741,1084,-0.19215000000000002
741,1085,-0.1771
741,1088,-0.17800000000000002
741,1126,-0.19905
741,1127,-0.17785
741,1128,-0.1807
741,1130,-0.16865
741,1132,-0.17265
741,1133,-0.17365
759,649,-0.28115
759,652,-0.28195000000000003
759,658,-0.19280000000000003
759,660,-0.2215
759,661,-0.24050000000000002
759,663,-0.24745
759,690,-0.0179
759,691,-0.02075
759,710,-0.1443
759,714,-0.11215
759,736,-0.0239
759,741,-0.021400000000000002
759,1079,-0.2215
759,1080,-0.22344999999999998
759,1081,-0.21920000000000003
759,1084,-0.2061
759,1085,-0.1911
759,1088,-0.192
759,1126,-0.21300000000000002
759,1127,-0.19185
759,1128,-0.19469999999999998
759,1130,-0.18265
759,1132,-0.18660000000000002
759,1133,-0.18765
1079,649,-0.0959
1079,652,-0.0901
1079,658,-0.0718
1079,660,-0.0417
1079,661,-0.0763
1079,663,-0.0804
1079,690,-0.2295
1079,691,-0.2285
1079,710,-0.10265
1079,714,-0.1478
1079,736,-0.21815
1079,741,-0.21985
1079,759,-0.2338
1079,1080,-0.0222
1079,1081,-0.031200000000000002
1079,1084,-0.0403
1079,1085,-0.055549999999999995
1079,1088,-0.08285000000000001
1079,1126,-0.10314999999999999
1079,1127,-0.1198
1079,1128,-0.08925000000000001
1079,1130,-0.08225
1079,1132,-0.10145
1079,1133,-0.08835000000000001
1080,649,-0.07785
1080,652,-0.07200000000000001
1080,658,-0.053700000000000005
1080,660,-0.023650000000000004
1080,661,-0.05825
1080,663,-0.06235
1080,690,-0.22344999999999998
1080,691,-0.2225
1080,710,-0.08455
1080,714,-0.1297
1080,736,-0.2121
1080,741,-0.2138
1080,759,-0.2278
1080,1079,-0.0222
1080,1081,-0.01315
1080,1084,-0.0222
1080,1085,-0.0375
1080,1088,-0.06480000000000001
1080,1126,-0.1118
1080,1127,-0.12845
1080,1128,-0.09789999999999999
1080,1130,-0.0909
1080,1132,-0.1101
1080,1133,-0.09699999999999999
1081,649,-0.08130000000000001
1081,652,-0.0755
1081,658,-0.0572
1081,660,-0.0271
1081,661,-0.0617
1081,663,-0.0658
1081,690,-0.21925
1081,691,-0.2183
1081,710,-0.08035
1081,714,-0.12835000000000002
1081,736,-0.2079
1081,741,-0.2096
1081,759,-0.2236
1081,1079,-0.031200000000000002
1081,1080,-0.01315
1081,1084,-0.018000000000000002
1081,1085,-0.0333
1081,1088,-0.06055
1081,1126,-0.1208
1081,1127,-0.13745
1081,1128,-0.1069
1081,1130,-0.0999
1081,1132,-0.1191
1081,1133,-0.106
1084,649,-0.0904
1084,652,-0.08460000000000001
1084,658,-0.0483
1084,660,-0.0362
1084,661,-0.0708
1084,663,-0.07490000000000001
1084,690,-0.20615
1084,691,-0.2052
1084,710,-0.06725
1084,714,-0.11525
1084,736,-0.1948
1084,741,-0.19649999999999998
1084,759,-0.21050000000000002
1084,1079,-0.0403
1084,1080,-0.0222
1084,1081,-0.018000000000000002
1084,1085,-0.0202
1084,1088,-0.04745
1084,1126,-0.12990000000000002
1084,1127,-0.1317
1084,1128,-0.1012
1084,1130,-0.09415
1084,1132,-0.11335
1084,1133,-0.1003
1085,649,-0.1057
1085,652,-0.09985
1085,658,-0.03325
1085,660,-0.051500000000000004
1085,661,-0.08130000000000001
1085,663,-0.0883
1085,690,-0.1911
1085,691,-0.19015
1085,710,-0.05225
1085,714,-0.1002
1085,736,-0.17980000000000002
1085,741,-0.18145
1085,759,-0.19545
1085,1079,-0.055549999999999995
1085,1080,-0.0375
1085,1081,-0.0333
1085,1084,-0.0202
1085,1088,-0.03245
1085,1126,-0.1169
1085,1127,-0.11664999999999999
1085,1128,-0.08615
1085,1130,-0.07915
1085,1132,-0.09835
1085,1133,-0.08525
1088,649,-0.12195
1088,652,-0.12275000000000001
1088,658,-0.03325
1088,660,-0.06230000000000001
1088,661,-0.08130000000000001
1088,663,-0.08825
1088,690,-0.19205
1088,691,-0.19105
1088,710,-0.05315
1088,714,-0.1011
1088,736,-0.1807
1088,741,-0.18239999999999998
1088,759,-0.19635000000000002
1088,1079,-0.08285000000000001
1088,1080,-0.06480000000000001
1088,1081,-0.06055
1088,1084,-0.04745
1088,1085,-0.03245
1088,1126,-0.1343
1088,1127,-0.1341
1088,1128,-0.1036
1088,1130,-0.09655
1088,1132,-0.11574999999999999
1088,1133,-0.10265
1126,649,-0.16824999999999998
1126,652,-0.16245
1126,658,-0.13515000000000002
1126,660,-0.1292
1126,661,-0.1638
1126,663,-0.1677
1126,690,-0.21059999999999998
1126,691,-0.20965
1126,710,-0.13615
1126,714,-0.1443
1126,736,-0.19925
1126,741,-0.20095
1126,759,-0.21495
1126,1079,-0.10314999999999999
1126,1080,-0.1118
1126,1081,-0.1208
1126,1084,-0.12990000000000002
1126,1085,-0.1169
1126,1088,-0.1343
1126,1127,-0.05045
1126,1128,-0.0402
1126,1130,-0.0518
1126,1132,-0.053200000000000004
1126,1133,-0.0464
1127,649,-0.19039999999999999
1127,652,-0.18460000000000001
1127,658,-0.1411
1127,660,-0.1491
1127,661,-0.1837
1127,663,-0.18775
1127,690,-0.19030000000000002
1127,691,-0.1893
1127,710,-0.11685000000000001
1127,714,-0.12400000000000001
1127,736,-0.17895
1127,741,-0.18065
1127,759,-0.19460000000000002
1127,1079,-0.12090000000000001
1127,1080,-0.12955
1127,1081,-0.13855
1127,1084,-0.1379
1127,1085,-0.12285
1127,1088,-0.1403
1127,1126,-0.05045
1127,1128,-0.046150000000000004
1127,1130,-0.05775
1127,1132,-0.05165
1127,1133,-0.0524
1128,649,-0.17165
1128,652,-0.16579999999999998
1128,658,-0.10439999999999999
1128,660,-0.11745
1128,661,-0.15205
1128,663,-0.1561
1128,690,-0.18910000000000002
1128,691,-0.1881
1128,710,-0.1054
1128,714,-0.12279999999999999
1128,736,-0.17775
1128,741,-0.17945
1128,759,-0.19340000000000002
1128,1079,-0.08925000000000001
1128,1080,-0.09789999999999999
1128,1081,-0.1069
1128,1084,-0.1012
1128,1085,-0.08615
1128,1088,-0.1036
1128,1126,-0.0402
1128,1127,-0.046150000000000004
1128,1130,-0.02675
1128,1132,-0.04425
1128,1133,-0.032850000000000004
1130,649,-0.16460000000000002
1130,652,-0.15880000000000002
1130,658,-0.09734999999999999
1130,660,-0.1104
1130,661,-0.145
1130,663,-0.1491
1130,690,-0.17704999999999999
1130,691,-0.1761
1130,710,-0.0984
1130,714,-0.11075
1130,736,-0.16570000000000001
1130,741,-0.1674
1130,759,-0.1814
1130,1079,-0.08225
1130,1080,-0.0909
1130,1081,-0.0999
1130,1084,-0.09415
1130,1085,-0.07915
1130,1088,-0.09655
1130,1126,-0.0518
1130,1127,-0.0516
1130,1128,-0.02675
1130,1132,-0.03325
1130,1133,-0.02015
1132,649,-0.1838
1132,652,-0.17800000000000002
1132,658,-0.11660000000000001
1132,660,-0.12960000000000002
