,oid_,id,zone_id,co_tazid,tazid,co_fips,co_name,residentia,households,population,jobs1,jobs3,jobs4,jobs5,jobs6,jobs7,jobs9,jobs10,avgincome,enrol_elem,enrol_midl,enrol_high,hhsize_lc1,hhsize_lc2,hhsize_lc3,pct_poplc1,pct_poplc2,pct_poplc3,pct_ag1,pct_ag2,pct_ag3,inc1,inc2,inc3,inc4,park_score,park_area,school_cd,coll_enrol,th_score,comm_rail,light_rail,gqu_ratio,node_id,jobs_total,mixed_use,area_sqmil
8542,8542,0,8545,351171,1171,35,SALT LAKE,0,239,572,1,1,0,10,6,37,151,1,35103.825,0.003177448,0.0,0.000563811,1.52775,3.606725,1.530925,0.33845,0.582725,0.078825,0.223775,0.7074,0.068825,0.417686883,0.273083912,0.206530073,0.102699132,0,0,0,0,0,0,0,0.0,69707,55,44.71088435,0.0617763
8587,8587,0,8590,351112,1112,35,SALT LAKE,0,186,449,0,23,0,0,0,0,0,0,86903.055,0.283129176,0.0,0.0,1.58345,3.8818,1.52975,0.3028,0.5587,0.1385,0.23125,0.64025,0.1285,0.107325751,0.170788711,0.308863407,0.413022131,0,0,0,0,0,0,0,0.0,71798,23,20.46889952,0.0617763
8670,8670,0,8673,351107,1107,35,SALT LAKE,0,223,483,0,7,0,0,0,15,2,0,55524.3,0.535714286,0.0,0.0,1.3695,3.2915,1.331,0.3545,0.569,0.0765,0.1845,0.749,0.0665,0.265166942,0.229538186,0.266296371,0.238998501,1,977,3,0,0,0,0,0.0,71810,22,20.0244898,0.0617763
8698,8698,0,8701,351069,1069,35,SALT LAKE,0,480,884,143,4,142,18,12,62,114,1,31823.45,0.0,0.022115385,0.0,1.304,3.0935,1.25,0.4005,0.533,0.0665,0.0825,0.851,0.0665,0.468538156,0.277725134,0.173997935,0.079738776,0,0,0,0,0,0,0,0.0,73717,381,212.4041812,0.0617763
8700,8700,0,8703,351104,1104,35,SALT LAKE,0,219,451,31,5,0,1,3,11,16,0,47833.7375,0.005487805,0.0,0.0,0.961625,2.35325,0.927125,0.22475,0.693875,0.081375,0.11725,0.808,0.07475,0.289701483,0.249515453,0.273623858,0.187159206,3,47101,0,0,0,0,0,0.0,72639,51,41.36666667,0.0617763
8701,8701,0,8704,350966,966,35,SALT LAKE,0,96,286,448,78,2,4,2348,3318,511,22,36083.72,0.0,0.0,0.0,0.7028,1.6484,0.6828,0.1292,0.7756,0.0952,0.0328,0.872,0.0952,0.41489063,0.271827437,0.207182989,0.106098943,1,12369,0,0,0,0,0,0.0,74243,6198,94.53574833,0.0617763
8715,8715,0,8718,351104,1104,35,SALT LAKE,0,151,355,0,0,0,0,0,2,0,0,52566.0,0.009295775,0.0,0.0,0.803,1.969,0.77,0.1925,0.758,0.0495,0.1045,0.8515,0.044,0.240152865,0.240746662,0.299989342,0.219111131,3,70127,0,0,0,0,0,0.0,72208,2,1.973856209,0.0617763
8770,8770,0,8773,350757,757,35,SALT LAKE,0,13,58,0,0,0,0,0,1,0,0,36685.875,0.222413793,0.0,0.0,1.290375,3.0425,1.288375,0.19675,0.769625,0.033625,0.217225,0.755725,0.02705,0.478385719,0.280355672,0.17022538,0.071033229,1,6255,0,0,0,0,0,0.0,75027,1,0.928571429,0.0617763
8796,8796,0,8799,351079,1079,35,SALT LAKE,0,25,67,363,29,6,11,133,427,268,81,32152.2,0.471044776,0.0,0.0,1.6398,3.8996,1.5983,0.3638,0.5313,0.1049,0.1379,0.7644,0.0977,0.505841548,0.28108196,0.14988878,0.063187712,0,0,0,0,0,0,1,0.0,73410,969,24.37122736,0.0617763
8809,8809,0,8812,351063,1063,35,SALT LAKE,0,463,841,1,16,61,0,33,150,17,1,29357.4,0.0,0.137978597,0.044994055,1.34,3.174,1.3052,0.316,0.412,0.272,0.0612,0.6668,0.272,0.46628248,0.278178213,0.176252324,0.079286983,0,0,2,0,0,0,0,0.0,73932,261,166.910221,0.0617763
8841,8841,0,8844,351030,1030,35,SALT LAKE,0,5,14,0,0,0,0,0,0,0,0,98944.0,0.0,0.0,0.0,1.9,4.39,1.86,0.26,0.5,0.24,0.23,0.54,0.23,0.053401095,0.122947615,0.286043784,0.537607506,3,9324,0,0,0,0,0,0.0,84971,0,0.0,0.0617763
8857,8857,0,8860,350765,765,35,SALT LAKE,0,38,100,10,9,0,0,0,0,0,125,31103.5,0.0,0.0,0.0,1.704,4.126,1.656,0.288,0.603,0.109,0.305,0.596,0.099,0.484481141,0.28005713,0.164958929,0.0705028,0,0,0,0,0,0,0,0.0,74183,19,12.66666667,0.0617763
8864,8864,0,8867,350806,806,35,SALT LAKE,0,0,0,11,1,0,6,47,266,0,130,28403.58,0.0,0.0,0.0,1.25995,3.0623,1.23735,0.1582,0.7853,0.0565,0.1808,0.76835,0.05085,0.525013744,0.283672347,0.138537658,0.052776251,3,22709,0,0,0,0,0,0.0,70698,331,0.0,0.0617763
8874,8874,0,8877,351170,1170,35,SALT LAKE,0,160,402,0,23,9,8,4,20,2,15,47156.5,0.219962687,0.060447761,0.0,1.865,4.429,1.814,0.2905,0.61975,0.08975,0.307,0.61325,0.07975,0.333362182,0.258193056,0.251496531,0.156948231,0,0,0,0,0,0,1,0.0,76682,64,45.71428571,0.0617763
8913,8913,0,8916,350759,759,35,SALT LAKE,0,136,467,0,258,2,1,0,40,1,0,29205.7,0.177189507,0.0,0.0,1.845475,4.3798,1.8216,0.28645,0.596875,0.116675,0.295925,0.5974,0.106675,0.482035567,0.279626481,0.166329874,0.072008078,3,35103,0,0,0,0,0,0.0,74869,301,93.67505721,0.0617763
8977,8977,0,8980,350971,971,35,SALT LAKE,0,458,1312,612,21,12,24,1515,1754,622,53,47302.0,0.0,0.0,0.0,2.0412,4.8044,1.9852,0.35,0.48,0.17,0.1,0.73,0.17,0.284729019,0.252019818,0.280206085,0.183045077,1,2713,0,0,0,0,1,0.0,74024,3938,410.2829845,0.0617763
9020,9020,0,9023,351082,1082,35,SALT LAKE,0,491,1069,11,0,16,0,50,9,2,0,34865.0,0.0,0.0,0.0,1.4042,3.4291,1.3216,0.3763,0.5737,0.05,0.1674,0.7926,0.04,0.421105552,0.274505767,0.20570685,0.098681832,1,7316,0,0,0,0,0,0.0,73200,86,73.18197574,0.0617763
9031,9031,0,9034,350760,760,35,SALT LAKE,0,55,187,0,0,1,0,0,0,0,0,32220.1,1.5825,0.0,0.0,1.866275,4.4797,1.8099,0.28055,0.566375,0.153075,0.275825,0.5811,0.143075,0.429726973,0.272148705,0.196075328,0.102048994,3,55915,0,0,0,0,0,0.0,74891,1,0.982142857,0.0617763
9072,9072,0,9075,351030,1030,35,SALT LAKE,0,23,56,0,0,0,0,0,0,0,0,98944.0,0.0,0.0,0.0,1.9,4.39,1.86,0.26,0.5,0.24,0.23,0.54,0.23,0.053401095,0.122947615,0.286043784,0.537607506,3,8110,0,0,0,0,0,0.0,76032,0,0.0,0.0617763
9140,9140,0,9143,351030,1030,35,SALT LAKE,0,0,0,0,0,0,0,0,0,0,0,101801.8775,0.0,0.0,0.0,1.89565,4.399425,1.8571,0.259275,0.499275,0.24145,0.229275,0.539275,0.23145,0.045213954,0.104490666,0.26063105,0.58966433,0,0,0,0,0,0,0,0.0,79730,0,0.0,0.0617763
9147,9147,0,9150,350784,784,35,SALT LAKE,0,131,464,14,0,8,0,3,0,0,0,31598.3375,0.824159483,0.0,0.0,2.111525,5.0339,2.04425,0.27905,0.636575,0.084375,0.33815,0.587475,0.074375,0.495253084,0.280334972,0.157172588,0.067239357,1,8426,0,0,0,0,0,0.0,73426,25,20.99358974,0.0617763
9149,9149,0,9152,351129,1129,35,SALT LAKE,0,240,539,0,0,0,0,0,0,0,0,50324.15,0.053339518,0.0,0.0,1.453,3.433,1.434,0.341,0.561,0.098,0.19,0.722,0.088,0.261922965,0.245436674,0.289380705,0.203259655,0,0,0,0,0,0,0,0.0,71429,0,0.0,0.0617763
9161,9161,0,9164,351038,1038,35,SALT LAKE,0,130,353,6,52,1,22,4,115,34,43,37428.21,0.379971671,1.720708215,1.720708215,1.717,4.0546,1.6846,0.341,0.5622,0.0968,0.1994,0.7135,0.0871,0.447536319,0.269450045,0.178810553,0.104203084,1,483,0,0,0,0,0,0.0,75103,200,78.78787879,0.0617763
9249,9249,0,9252,351068,1068,35,SALT LAKE,0,251,464,1,7,1435,7,32,173,77,0,35912.36,0.0,0.539310345,0.0,1.296,3.1132,1.2932,0.3936,0.5236,0.0828,0.08,0.8372,0.0828,0.406871586,0.272648536,0.21414511,0.106334768,0,0,0,0,0,0,0,0.0,74005,1655,217.9459601,0.0617763
9276,9276,0,9279,350758,758,35,SALT LAKE,0,38,137,40,35,2,93,64,87,1,50,32466.3,0.0,0.0,0.0,2.004,4.771,2.067,0.255,0.713,0.032,0.447,0.54,0.013,0.471703082,0.279655624,0.174367827,0.074273467,0,0,0,0,0,0,0,0.0,74181,321,33.97771588,0.0617763
9283,9283,0,9286,351026,1026,35,SALT LAKE,0,0,0,0,0,0,1,54,1,0,20,44827.465,0.0,0.0,0.0,1.779,4.22845,1.73075,0.23365,0.64175,0.1246,0.4008,0.49095,0.10825,0.306132609,0.254112976,0.266996728,0.172757688,0,0,0,0,0,0,0,0.0,79694,56,0.0,0.0617763
9330,9330,0,9333,351030,1030,35,SALT LAKE,0,0,0,0,0,0,0,0,0,0,0,98944.0,0.0,0.0,0.0,1.24925,2.886425,1.22295,0.17095,0.67125,0.1578,0.151225,0.69755,0.151225,0.053401095,0.122947615,0.286043784,0.537607506,0,0,0,0,0,0,0,0.0,79739,0,0.0,0.0617763
9331,9331,0,9334,350761,761,35,SALT LAKE,0,90,244,0,0,14,0,0,1,1,14,38128.9725,0.145081967,0.0,0.0,1.87045,4.522575,1.795975,0.2998,0.5955,0.1047,0.271125,0.634175,0.0947,0.409432284,0.271395353,0.210749824,0.108422539,1,4006,0,0,0,0,0,0.0,75189,15,12.85714286,0.0617763
9357,9357,0,9360,351087,1087,35,SALT LAKE,0,318,665,66,5,0,13,30,74,190,0,30035.0,0.0,0.0,0.0,1.37,3.29,1.32,0.36,0.51,0.13,0.11,0.76,0.13,0.488401021,0.281389056,0.164014311,0.066195612,0,0,0,0,0,0,0,0.0,72917,188,118.1501976,0.0617763
9387,9387,0,9390,351047,1047,35,SALT LAKE,0,170,407,0,0,0,0,0,0,0,0,79722.0,0.84029484,0.0,0.0,1.53,3.69,1.52,0.3,0.52,0.18,0.19,0.64,0.17,0.0965402,0.174319243,0.32288937,0.406251187,3,0,3,0,0,0,0,0.0,75234,0,0.0,0.0617763
9392,9392,0,9395,351055,1055,35,SALT LAKE,0,22,48,0,0,0,0,0,0,0,0,84459.17,0.0,0.0,0.0,1.68065,4.02715,1.6117,0.34315,0.5121,0.14475,0.14,0.72525,0.13475,0.2514238,0.218508226,0.262054253,0.26801372,3,47473,0,0,0,0,0,0.0,76298,0,0.0,0.0617763
9422,9422,0,9425,350751,751,35,SALT LAKE,0,32,97,0,70,0,0,0,0,0,0,52614.1975,3.06507732,0.145438144,0.145438144,2.14965,5.16565,2.07715,0.244275,0.599425,0.1563,0.335975,0.517725,0.1463,0.279285244,0.249033027,0.280881851,0.190799877,3,58131,3,0,0,0,0,0.0,79589,70,21.96078431,0.0617763
